"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[563706] Report(S200001)", ,"Entity[563706] Report(S200001[00100])","Entity[563706] Report(S200001[00200])","Entity[563706] Report(S200001[00300])","Entity[563706] Report(S200001[00400])","Entity[563706] Report(S200001[00500])","Entity[563706] Report(S200001[00600])","Entity[563706] Report(S200001[00700])","Entity[563706] Report(S200001[00800])"
"Line(00100)", ,"200 LOTHROP STREET"
"Line(00200)", ,"PITTSBURGH","PA","15213","ALLEGHENY"
"Line(00300)", ,"UPMC - PRESBYTERIAN SHADYSIDE","390164","38300","1","07/01/1967","N","P","N"
"Line(00400)", ,"WESTERN PSYCHIATRIC INSTITUTE & CLIN","39S164","38300","4","07/01/1992","N","P","N"
"Line(00500)", ,"REHABILITATION UNIT","39T164","38300","5","07/01/1991","N","P","N"
"Line(00900)", ,"SKILLED NURSING FACILITY","396040","38300", ,"06/03/2004","N","P","N"
"Line(01800)", ,"OUTPATIENT RENAL","392327","38300", ,"06/03/2004"
"Line(02000)", ,"07/01/2013","06/30/2014"
"Line(02100)", ,"2"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"N","Y"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"3","N"
"Line(02400)", ,"6269","4726","3711", ,"30005"
"Line(02500)", ,"120","70", , ,"385"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"Y"
"Line(06000)", ,"Y"
"Line(06100)", ,"N"
"Line(06300)", ,"Y"
"Line(06400)", ,"6","563","0"
"Line(06500)", ,"TRANSITIONAL YEAR","2001","0","12","0"
"Line(06501)", ,"FAMILY MEDICINE","1350","2","24","0"
"Line(06502)", ,"FAMILY MEDICINE/PSYCHIATRY","2750", ,"3"
"Line(06503)", ,"INTERNAL MEDICINE","1400","3","122","0"
"Line(06504)", ,"GERIATRIC MEDICINE-INTERNAL MEDICINE","1408", ,"2"
"Line(06505)", ,"INTERNAL MEDICINE & PEDIATRICS","1450","1","8","0"
"Line(06506)", ,"OSTEOPATHIC INTERNSHIP-FAMILY MEDICI","3900", ,"0"
"Line(06507)", ,"OSTEOPATHIC INTERNSHIP","6400", ,"3"
"Line(06600)", ,"28","613","0"
"Line(06700)", ,"TRANSITIONAL YEAR","2525"
"Line(06701)", ,"FAMILY MEDICINE","1350","1","17","0"
"Line(06702)", ,"FAMILY MEDICINE/PSYCHIATRY","2750"
"Line(06703)", ,"INTERNAL MEDICINE","1400","5","138","0"
"Line(06704)", ,"GERIATRIC MEDICINE-FAMILY MEDICINE","1351", ,"0"
"Line(06705)", ,"GERIATRIC MEDICINE-INTERNAL MEDICINE","1408","1","2","0"
"Line(06706)", ,"INTERNAL MEDICINE & PEDIATRICS","1450","0","7","0"
"Line(06707)", ,"OSTEOPATHIC INTERNSHIP","6400","0","4","0"
"Line(06708)", ,"OSTEOPATHIC INTERNSHIP","3900", ,"9"
"Line(07000)", ,"Y"
"Line(07100)", ,"Y","N"
"Line(07500)", ,"Y"
"Line(07600)", ,"Y","N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(08700)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","N"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","N"
"Line(09600)", ,"N","N"
"Line(10500)", ,"N"
"Line(10800)", ,"N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"Y"
"Line(11800)", ,"2"
"Line(11801)", ,"14021356","8640533"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"07/01/1967"
"Line(12700)", ,"10/17/1986"
"Line(12800)", ,"03/08/1990"
"Line(12900)", ,"02/01/1995"
"Line(13000)", ,"07/01/1999"
"Line(13100)", ,"10/01/2001"
"Line(14000)", ,"Y","HO0164"
"Line(14100)", ,"UNIVERSITY OF PITTBURGH MEDICAL CENT","HIGHMARK MEDICARESERVICES","12001"
"Line(14200)", ,"200 LOTHROP STREET"
"Line(14300)", ,"PITTSBURGH","PA","15213"
"Line(14400)", ,"Y"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"10/01/2012","09/30/2013"
