"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[563706] Report(A000000)","Entity[563706] Report(A000000[00000])","Entity[563706] Report(A000000[00100])","Entity[563706] Report(A000000[00200])","Entity[563706] Report(A000000[00300])","Entity[563706] Report(A000000[00400])","Entity[563706] Report(A000000[00500])","Entity[563706] Report(A000000[00600])","Entity[563706] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"33561067","33561067","11124","33572191"
"Line(00101)","00101CAP REL COSTS - UNIV CENTER", , , ,"511746","511746", ,"511746"
"Line(00102)","00102CAP REL COSTS - MUH", , , ,"105256","105256","409213","514469"
"Line(00103)","00103CAP REL COSTS - WPIC", , , ,"-748156","-748156","2591177","1843021"
"Line(00104)","00104CAP REL COSTS - SHY", , , ,"7643207","7643207","24230","7667437"
"Line(00105)","00105CAP REL COSTS - HCC", , , ,"5507756","5507756", ,"5507756"
"Line(00106)","00106CAP REL COSTS - HCC POB2", , , ,"1080787","1080787", ,"1080787"
"Line(00107)","00107CAP REL COSTS - SOUTH TOWER", , , ,"1825060","1825060", ,"1825060"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"30970221","30970221","34709","31004930"
"Line(00201)","00201CAP REL COSTS - MVBLE EQUIP WPI", , , ,"50639","50639","749356","799995"
"Line(00300)","00300OTHER CAP REL COSTS", ,"1866485","1866485","-1866485"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","2192452","25432783","27625235","88875260","116500495","20495115","136995610"
"Line(00501)","00540NON PATIENT TELEPHONE"
"Line(00502)","00550INFORMATION SYSTEMS", , , ,"32798","32798","56115064","56147862"
"Line(00503)","00551WPIC - INFORMATION SYSTEMS"
"Line(00504)","00560PURCHASING","252711","626289","879000", ,"879000","4105774","4984774"
"Line(00505)","00581ADMITTING & COLLECTIONS","4042652","36550750","40593402","35799","40629201","-33673781","6955420"
"Line(00506)","00580WPIC-ADMIT  A/R  COLLECTIONS"
"Line(00507)","00590OTHER ADMIN AND GENERAL","23074926","523338812","546413738","-161688783","384724955","-313122147","71602808"
