"----------"," Entity 565497"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[565497] Report(B000001[00000])","Entity[565497] Report(B000001[00100])","Entity[565497] Report(B000001[00200])", ,"Entity[565497] Report(B000001[00400])", , ,"Entity[565497] Report(B000001[00700])","Entity[565497] Report(B000001[00800])","Entity[565497] Report(B000001[00900])","Entity[565497] Report(B000001[01000])","Entity[565497] Report(B000001[01100])", ,"Entity[565497] Report(B000001[01300])","Entity[565497] Report(B000001[01400])","Entity[565497] Report(B000001[01500])","Entity[565497] Report(B000001[01600])","Entity[565497] Report(B000001[01700])", ,"Entity[565497] Report(B000001[01900])", ,"Entity[565497] Report(B000001[02100])", , ,"Entity[565497] Report(B000001[02400])","Entity[565497] Report(B000001[02500])","Entity[565497] Report(B000001[02600])"
"19057976","19057976", , , , , , , , , , , , , , , , , , 
"7783764", , , , , , , , , , , , , , , , , , , 
"23711960", ,"23711960", , , , , , , , , , , , , , , , , 
"100746087","118730","32151", ,"100945460", , , , , , , , , , , , , , , 
"3321721","39305","20263", ,"183118", , , , , , , , , , , , , , , 
"17738129","305436","277702", ,"1203396", , , , , , , , , , , , , , , 
"3326631","315663","10829", ,"289311", , , , , , , , , , , , , , , 
 ,"91557","1904", , , , , , , , , , , , , , , , , 
"2919912","53329","17180", ,"463988", , , , , , , , , , , , , , , 
"2692853","48012","8656", ,"456567", , , , , , , , , , , , , , , 
"10498121","192227","1198", ,"962107", , , , , , , , , , , , , , , 
"3388376","103616","8561", ,"341398", , , , , , , , , , , , , , , 
"980672","42826","779", ,"66553", , , , , , , , , , , , , , , 
"942425","196526","10861", ,"157975", , , , , , , , , , , , , , , 
"142122174","1124738","788381", ,"8631561", , , , , , , , , , , , , , , 
"7991270","44132","12709", ,"588488", , , , , , , , , , , , , , , 
"4646396", , , ,"8960", , , , , , , , , , , , , , , 
"29845447","273388","398508", ,"984509", , ,"37988610", , , , , , , , , , , , 
"2357722","80119","143982", ,"283522", , ,"188946", , , , , , , , , , , , 
"2867594","101521","2013", , , , ,"239416","3880472", , , , , , , , , , , 
 ,"139987","18289", , , , ,"330132","609","650457", , , , , , , , , , 
"5737949","322131","50155", ,"416152", , ,"759680", ,"27127","8931270", , , , , , , , , 
 ,"146347","4288", ,"168518", , ,"345129", ,"2358", ,"879078", , , , , , , , 
"1103672","11425","5215", ,"159467", , ,"26944","113","968", ,"7022", , , , , , , , 
"3168922","109964","17289", ,"426491", , ,"259327", ,"2911", ,"4924", ,"4843650", , , , , , 
"1989793","173161","587977", ,"251266", , ,"408365", ,"12441", ,"6972", , ,"4156228", , , , , 
"1188872","45509","7600", ,"148833", , ,"107323", ,"5901", ,"1792", , ,"4468", , , , , 
"9722524","214694","196460", ,"1595358", , ,"506312","1973","8318", ,"19592", ,"756","5064","14874395", , , , 
"9170952","297915","10553", ,"889041", , ,"702572", ,"3732", ,"16769", , ,"2", ,"13442361", , , 
"3051336","46754","2988", ,"520010", , ,"110261", ,"805", ,"7430", , ,"112", , ,"4552746", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"578998", , , , , , , , , , , , , , ,"693640"
"42738596","91676","1709", ,"7474081", , ,"216200","25329","2432", ,"86736", , ,"122", , , , , , ,"60663721"
"615265","58371","5644", ,"110331", , ,"137656", ,"1362", ,"1812", , ,"175","172", , , , 
"49378200","2187238","838685", ,"7112509", , ,"5158156","1531431","145967","6190826","116431", ,"1344529","486735","1741","1979421","1341397", , , ,"38668150", , ,"136606671","-38668150","97938521"
"17346381","543687","450961", ,"2480056", , ,"1282175","320404","20174","771555","31475", ,"565120","222538","780","599889","87854", , , ,"7910357", , ,"39210320","-7910357","31299963"
"5823065","129940","98688", ,"773753", , ,"306436","108733","7374","310816","10464", ,"147331","95879","37","253021","99428", , , ,"1090846", , ,"11314391","-1090846","10223545"
"8342046","294658","409405", ,"1420788", , ,"694890","62634","10852", ,"16614", ,"334868","24631","569","365356","179345", , , ,"4518559", , ,"19839553","-4518559","15320994"
"3531444","54874","106488", ,"383519", , ,"129409","23882","4648", ,"4708", ,"85031","26470","51","94250","96231", , , ,"960533", , ,"6664880","-960533","5704347"
"3310629","132994","72632", ,"492140", , ,"313638","63208","4937","249447","6337", ,"94346","54840","210","127788","118388", , , ,"1442642", , ,"7760509","-1442642","6317867"
"4473958","114694","129158", ,"652384", , ,"270483","28646","9715","264142","9804", ,"99123","30241","181","188052","137899", , , ,"1502503", , ,"9531722","-1502503","8029219"
"5815064","346897","29498", ,"861122", , ,"818086","102012","28489","849711","11784", ,"87857","21086","8","158797","41226", , , ,"3733003", , ,"15000998","-3733003","11267995"
"840204", , , ,"109631", , , , , , , , , , , ,"22371", , , , ,"837128", , ,"2035293","-837128","1198165"
"47480132","1859682","3997905", ,"2303697", , ,"4385682","306672","73326", ,"33048", ,"329614","54788","44897","1268420","117947", ,"693640", , , , ,"78325711", ,"78325711"
"6368015","393280","319083", ,"533160", , ,"927471","120721","12524", ,"8122", ,"82204","5817","175159","1695","882", , , , , , ,"11721373", ,"11721373"
"3441853","416154","39615", ,"486249", , ,"981415","69772","15980", ,"6858", ,"96655","17014","5","272930", , , , , , , ,"7908739", ,"7908739"
"2850936","103628","322758", ,"451949", , ,"244386","68042","3848", ,"6245", ,"81687","36443","269","96324", , , , , , , ,"5629452", ,"5629452"
"2493424","30706","473356", ,"96638", , ,"72415","18722","1172", ,"2380", ,"16043","1904","124","692429", , , , , , , ,"6058943", ,"6058943"
"9751069","734500","1362578", ,"1213536", , ,"1732170","55397","28953", ,"20418", ,"64370","11847","2094","404401", , , , , , , ,"20432047", ,"20432047"
"1159648","46024","101854", ,"206641", , ,"108538","31389","1642", ,"2399", , ,"579","205","62582", , , , , , , ,"2434252", ,"2434252"
"4178695","167796","559934", ,"295826", , ,"395712","21600","5789", ,"3011", , ,"1106", ,"42057", , , , , , , ,"7437725", ,"7437725"
"3991395","82730","483354", ,"506617", , ,"195102","49733","2869", ,"5585", , ,"658","198","515538", , , , , , , ,"9119846", ,"9119846"
"2360381","179305","1199283", ,"337022", , ,"422854","43686","6552", ,"3395", , ,"583","68","203335", , , , , , , ,"6886818", ,"6886818"
"10968003","440573","1263558", ,"867966", , ,"1039003","67759","17749", ,"8752", ,"77228","19472","4103","345841", , , , , , , ,"19446193", ,"19446193"
"19236870","396058","250539", ,"1285692", , ,"934023", ,"16569", ,"22216", , ,"22291","2439","1658762","69445", , , , , , ,"34221139", ,"34221139"
"2615198","294298","112027", ,"257697", , ,"694043", ,"13425", ,"4876", , ,"4830","3200","104833", , , , , , , ,"5537912", ,"5537912"
"111", , , , , , , , , , , , , , , , , , , , , , , ,"135", ,"135"
"7752861","82227","86978", ,"241423", , ,"193916","4086","5345", ,"3553", ,"16520","3698","300","330766", , , , , , , ,"11119105", ,"11119105"
"7478367","166610","260235", ,"1142205", , ,"392916","10202","4635", ,"17654", , ,"1886","191322","525389", , , , , , , ,"13036523", ,"13036523"
"3883446","72024","1893", ,"665503", , ,"169853","21261","7627", ,"8619", , ,"1480","246","97078", , , , , , , ,"6645927", ,"6645927"
"1241832","13449", , ,"204173", , ,"31717", ,"5246", ,"2400", , ,"44","371","66975", , , , , , , ,"2098172", ,"2098172"
