"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[565497] Report(B000002)", ,"Entity[565497] Report(B000002[00100])","Entity[565497] Report(B000002[00200])", ,"Entity[565497] Report(B000002[00400])", , ,"Entity[565497] Report(B000002[00700])","Entity[565497] Report(B000002[00800])","Entity[565497] Report(B000002[00900])","Entity[565497] Report(B000002[01000])","Entity[565497] Report(B000002[01100])", ,"Entity[565497] Report(B000002[01300])","Entity[565497] Report(B000002[01400])","Entity[565497] Report(B000002[01500])","Entity[565497] Report(B000002[01600])","Entity[565497] Report(B000002[01700])", ,"Entity[565497] Report(B000002[01900])", ,"Entity[565497] Report(B000002[02100])", , ,"Entity[565497] Report(B000002[02400])", ,"Entity[565497] Report(B000002[02600])"
"Line(00400)", ,"118730","32151", ,"199373"
"Line(00501)", ,"39305","20263", ,"361"
"Line(00502)", ,"305436","277702", ,"2375"
"Line(00503)", ,"315663","10829", ,"571"
"Line(00504)", ,"91557","1904"
"Line(00505)", ,"53329","17180", ,"916"
"Line(00506)", ,"48012","8656", ,"901"
"Line(00507)", ,"192227","1198", ,"1899"
"Line(00508)", ,"103616","8561", ,"674"
"Line(00509)", ,"42826","779", ,"131"
"Line(00510)", ,"196526","10861", ,"312"
"Line(00511)", ,"1124738","788381", ,"17038"
"Line(00512)", ,"44132","12709", ,"1162"
"Line(00514)", , , , ,"18"
"Line(00700)", ,"273388","398508", ,"1943", , ,"899000"
"Line(00701)", ,"80119","143982", ,"560", , ,"4471"
"Line(00800)", ,"101521","2013", , , , ,"5666","163479"
"Line(00900)", ,"139987","18289", , , , ,"7813","26","227442"
"Line(01000)", ,"322131","50155", ,"821", , ,"17978", ,"9485","565969"
"Line(01100)", ,"146347","4288", ,"333", , ,"8167", ,"824", ,"227718"
"Line(01201)", ,"11425","5215", ,"315", , ,"638","5","339", ,"1819"
"Line(01300)", ,"109964","17289", ,"842", , ,"6137", ,"1018", ,"1276", ,"197075"
"Line(01400)", ,"173161","587977", ,"496", , ,"9664", ,"4350", ,"1806", , ,"862141"
"Line(01401)", ,"45509","7600", ,"294", , ,"2540", ,"2063", ,"464", , ,"927"
"Line(01500)", ,"214694","196460", ,"3149", , ,"11982","83","2909", ,"5075", ,"31","1050","576390"
"Line(01600)", ,"297915","10553", ,"1755", , ,"16626", ,"1305", ,"4344", , , , ,"496800"
"Line(01700)", ,"46754","2988", ,"1026", , ,"2609", ,"281", ,"1925", , ,"23", , ,"89208"
"Line(01701)"
"Line(01900)", , , , ,"1143", , , , , , , , , , , , , , ,"3115"
"Line(02100)", ,"91676","1709", ,"14753", , ,"5116","1067","850", ,"22468", , ,"25", , , , , , ,"348179"
"Line(02301)", ,"58371","5644", ,"218", , ,"3258", ,"476", ,"469", , ,"36","7"
"Line(03000)", ,"2187238","838685", ,"14039", , ,"122064","64516","51039","392310","30159", ,"54702","100965","67","73616","26284", , , , , , ,"5387044", ,"5387044"
"Line(03100)", ,"543687","450961", ,"4895", , ,"30343","13498","7054","48893","8153", ,"22993","46162","30","22147","1721", , , , , , ,"1607002", ,"1607002"
"Line(03300)", ,"129940","98688", ,"1527", , ,"7252","4581","2579","19696","2711", ,"5994","19889","1","9341","1948", , , , , , ,"409059", ,"409059"
"Line(03500)", ,"294658","409405", ,"2804", , ,"16445","2639","3795", ,"4304", ,"13625","5109","22","13488","3514", , , , , , ,"962099", ,"962099"
"Line(03501)", ,"54874","106488", ,"757", , ,"3062","1006","1625", ,"1220", ,"3460","5491","2","3479","1886", , , , , , ,"235930", ,"235930"
"Line(03503)", ,"132994","72632", ,"971", , ,"7422","2663","1726","15807","1642", ,"3839","11376","8","4718","2320", , , , , , ,"346333", ,"346333"
"Line(03504)", ,"114694","129158", ,"1288", , ,"6401","1207","3397","16738","2540", ,"4033","6273","7","6942","2702", , , , , , ,"382454", ,"382454"
"Line(04100)", ,"346897","29498", ,"1700", , ,"19360","4298","9962","53846","3053", ,"3575","4374", ,"5862","808", , , , , , ,"672633", ,"672633"
"Line(04300)", , , , ,"216", , , , , , , , , , , ,"826", , , , , , , ,"5336", ,"5336"
"Line(05000)", ,"1859682","3997905", ,"4547", , ,"103787","12920","25640", ,"8561", ,"13411","11365","1740","46827","2311", , , , , , ,"7176383", ,"7176383"
"Line(05001)", ,"393280","319083", ,"1052", , ,"21949","5086","4379", ,"2104", ,"3345","1207","6788","63","17", , , , , , ,"1081288", ,"1081288"
"Line(05100)", ,"416154","39615", ,"960", , ,"23225","2939","5588", ,"1777", ,"3933","3529", ,"10076", , , , , , , ,"732703", ,"732703"
"Line(05200)", ,"103628","322758", ,"892", , ,"5783","2867","1346", ,"1618", ,"3324","7560","10","3556", , , , , , , ,"536648", ,"536648"
"Line(05300)", ,"30706","473356", ,"191", , ,"1714","789","410", ,"616", ,"653","395","5","25563", , , , , , , ,"602009", ,"602009"
"Line(05400)", ,"734500","1362578", ,"2395", , ,"40992","2334","10124", ,"5289", ,"2619","2458","81","14930", , , , , , , ,"2592221", ,"2592221"
"Line(05401)", ,"46024","101854", ,"408", , ,"2569","1322","574", ,"621", , ,"120","8","2310", , , , , , , ,"191754", ,"191754"
"Line(05600)", ,"167796","559934", ,"584", , ,"9365","910","2024", ,"780", , ,"229", ,"1553", , , , , , , ,"850614", ,"850614"
"Line(05700)", ,"82730","483354", ,"1000", , ,"4617","2095","1003", ,"1447", , ,"137","8","19032", , , , , , , ,"711691", ,"711691"
"Line(05800)", ,"179305","1199283", ,"665", , ,"10007","1840","2291", ,"879", , ,"121","3","7507", , , , , , , ,"1527288", ,"1527288"
"Line(05900)", ,"440573","1263558", ,"1713", , ,"24588","2855","6206", ,"2267", ,"3142","4039","159","12768", , , , , , , ,"2036082", ,"2036082"
