"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report C000191 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[565497] Report(C000191)", ,"Entity[565497] Report(C000191[00100])", ,"Entity[565497] Report(C000191[00300])", ,"Entity[565497] Report(C000191[00500])","Entity[565497] Report(C000191[00600])","Entity[565497] Report(C000191[00700])","Entity[565497] Report(C000191[00800])","Entity[565497] Report(C000191[00900])", ,"Entity[565497] Report(C000191[01100])"
"Line(03000)", ,"97938521", ,"97938521", ,"97938521", , ,"182226900"
"Line(03100)", ,"31299963", ,"31299963", ,"31299963", , ,"55228190"
"Line(03300)", ,"10223545", ,"10223545", ,"10223545", , ,"23294170"
"Line(03500)", ,"15320994", ,"15320994", ,"15320994", , ,"33636154"
"Line(03501)", ,"5704347", ,"5704347", ,"5704347", , ,"8677002"
"Line(03503)", ,"6317867", ,"6317867", ,"6317867", , ,"11764724"
"Line(03504)", ,"8029219", ,"8029219", ,"8029219", , ,"17312829"
"Line(04100)", ,"11267995", ,"11267995", ,"11267995", , ,"14619458"
"Line(04300)", ,"1198165", ,"1198165", ,"1198165", , ,"2059606"
"Line(05000)", ,"78325711", ,"78325711", ,"78325711", , ,"147215626","1", ,"1"
"Line(05001)", ,"11721373", ,"11721373", ,"11721373", , ,"46355543","0", ,"0"
"Line(05100)", ,"7908739", ,"7908739", ,"7908739", , ,"44012079","0", ,"0"
"Line(05200)", ,"5629452", ,"5629452", ,"5629452", , ,"9995581","1", ,"1"
"Line(05300)", ,"6058943", ,"6058943", ,"6058943", , ,"84223125","0", ,"0"
"Line(05400)", ,"20432047", ,"20432047", ,"20432047", , ,"84323655","0", ,"0"
"Line(05401)", ,"2434252", ,"2434252", ,"2434252", , ,"22157371","0", ,"0"
"Line(05600)", ,"7437725", ,"7437725", ,"7437725", , ,"36495266","0", ,"0"
"Line(05700)", ,"9119846", ,"9119846", ,"9119846", , ,"123670968","0", ,"0"
"Line(05800)", ,"6886818", ,"6886818", ,"6886818", , ,"68790968","0", ,"0"
"Line(05900)", ,"19446193", ,"19446193", ,"19446193", , ,"74831218","0", ,"0"
"Line(06000)", ,"34221139", ,"34221139", ,"34221139", , ,"338090153","0", ,"0"
"Line(06001)", ,"5537912", ,"5537912", ,"5537912", , ,"30675963","0", ,"0"
"Line(06003)", ,"135", ,"135", ,"135", , ,"122","1", ,"1"
"Line(06300)", ,"11119105", ,"11119105", ,"11119105", , ,"39265158","0", ,"0"
"Line(06500)", ,"13036523", ,"13036523", ,"13036523", , ,"49340454","0", ,"0"
"Line(06600)", ,"6645927", ,"6645927", ,"6645927", , ,"21589155","0", ,"0"
"Line(06700)", ,"2098172", ,"2098172", ,"2098172", , ,"8023225","0", ,"0"
"Line(06800)", ,"2432643", ,"2432643", ,"2432643", , ,"2190886","1", ,"1"
"Line(06900)", ,"20128830", ,"20128830", ,"20128830", , ,"112335481","0", ,"0"
"Line(07000)", ,"3003100", ,"3003100", ,"3003100", , ,"8058241","0", ,"0"
"Line(07100)", ,"3804693", ,"3804693", ,"3804693", , ,"1703001","2", ,"2"
"Line(07300)", ,"43623486", ,"43623486", ,"43623486", , ,"133471930","0", ,"0"
"Line(07400)", ,"7018373", ,"7018373", ,"7018373", , ,"30845086","0", ,"0"
"Line(07500)", ,"148", ,"148", ,"148"
"Line(07600)", ,"1181752", ,"1181752", ,"1181752", , ,"3340210","0", ,"0"
"Line(07601)", ,"1507634", ,"1507634", ,"1507634", , ,"545333","3", ,"3"
"Line(07604)", ,"1579839", ,"1579839", ,"1579839", , ,"11746585","0", ,"0"
