"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report H010000 ","-------------","-------------","-----------",""
"","","SALARIES","EMPLOYEE","TATION","PURCHASED ","","TOTAL","","TRIAL","","EXPENSES FOR",""
"","COST CENTER DESCRIPTIONS","","BENEFITS ","(see","SERVICES","","(sum of cols.","RECLASS-","BALANCE","","ALLOCATION",""
"","(omit cents)","","","instructions)","","OTHER COSTS","1 thru 5)","IFICATIONS","(col. 6 + col. 7)","ADJUSTMENTS","(col. 8 + col. 9)",""
"","","1","2","3","4","5","6","7","8","9","10",""
""," GENERAL SERVICE COST CENTERS","","","","","","","","","","",""
"1"," Capital Related-Bldgs. and Fixtures","","","","","","","","","","","1"
"2"," Capital Related-Movable Equipment","","","","","","","","","","","2"
"3"," Plant Operation & Maintenance","","","","","","","","","","","3"
"4"," Transportation (see instructions)","","","","","","","","","","","4"
"5"," Administrative and General","","","","","","","","","","","5"
" "," HHA REIMBURSABLE SERVICES","","","","","","","","","",""," "
"6"," Skilled Nursing Care","","","","","","","","","","","6"
"7"," Physical Therapy","","","","","","","","","","","7"
"8"," Occupational Therapy","","","","","","","","","","","8"
"9"," Speech Pathology","","","","","","","","","","","9"
"10"," Medical Social Services","","","","","","","","","","","10"
"11"," Home Health Aide","","","","","","","","","","","11"
"12"," Supplies (see instructions)","","","","","","","","","","","12"
"13"," Drugs","","","","","","","","","","","13"
"14"," DME","","","","","","","","","","","14"
" "," HHA NONREIMBURSABLE SERVICES","","","","","","","","","",""," "
"15"," Home Dialysis Aide Services","","","","","","","","","","","15"
"16"," Respiratory Therapy","","","","","","","","","","","16"
"17"," Private Duty Nursing","","","","","","","","","","","17"
"18"," Clinic","","","","","","","","","","","18"
"19"," Health Promotion Activities","","","","","","","","","","","19"
"20"," Day Care Program","","","","","","","","","","","20"
"21"," Home Delivered Meals Program","","","","","","","","","","","21"
"22"," Homemaker Service","","","","","","","","","","","22"
"23"," All Others","","","","","","","","","","","23"
"24"," Total (sum of lines 1-23)","","","","","","","","","","","24"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","\"Column"," 6 line 24 should agree with the Worksheet A"," column 3"," line 101"," or subscript as applicable. \"","","","","","","","","","","",""
"Entity[565497] Report(H010000)", ,"Entity[565497] Report(H010000[00100])", , ,"Entity[565497] Report(H010000[00400])","Entity[565497] Report(H010000[00500])","Entity[565497] Report(H010000[00600])","Entity[565497] Report(H010000[00700])","Entity[565497] Report(H010000[00800])","Entity[565497] Report(H010000[00900])","Entity[565497] Report(H010000[01000])"
"Line(00500)", ,"769949", , ,"51653","423698","1245300","-11419","1233881","492635","1726516"
"Line(00600)", ,"2063615", , ,"60254","120421","2244290", ,"2244290","-121078","2123212"
"Line(00700)", ,"491080", , ,"4770","57962","553812", ,"553812","-28813","524999"
"Line(00800)", ,"135405", , , ,"10290","145695", ,"145695","-7945","137750"
"Line(00900)", ,"4603", , ,"2840","2083","9526", ,"9526","-270","9256"
"Line(01000)", ,"30855", , ,"6105","2315","39275", ,"39275","-1810","37465"
"Line(01100)", ,"106393", , , ,"15435","121828", ,"121828","-6242","115586"
