"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[565497] Report(S200001)", ,"Entity[565497] Report(S200001[00100])","Entity[565497] Report(S200001[00200])","Entity[565497] Report(S200001[00300])","Entity[565497] Report(S200001[00400])","Entity[565497] Report(S200001[00500])","Entity[565497] Report(S200001[00600])","Entity[565497] Report(S200001[00700])","Entity[565497] Report(S200001[00800])"
"Line(00100)", ,"2160 SOUTH FIRST AVENUE"
"Line(00200)", ,"MAYWOOD","IL","60153","COOK"
"Line(00300)", ,"LOYOLA UNIVERSITY MEDICAL CENTER","140276","16974","1","05/01/1969","N","P","P"
"Line(00500)", ,"LOYOLA UNIVERSITY MEDICAL CENTER REH","14T276","16974","5","07/01/1999","N","P","O"
"Line(01200)", ,"LOYOLA UNIVERSITY MEDICAL CENTER HOM","147257","16974", ,"01/09/1984","N","P","N"
"Line(01400)", ,"LOYOLA UNIVERSITY MEDICAL CENTER FOR","141566","16974", ,"10/14/1994"
"Line(01800)", ,"INPATIENT RENAL UNIT","142329","16974", ,"03/31/2004"
"Line(02000)", ,"07/01/2013","06/30/2014"
"Line(02100)", ,"1"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"N","Y"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"1","N"
"Line(02400)", ,"25172","4319", ,"305","3475","268"
"Line(02500)", ,"532","94", , ,"136"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"N"
"Line(06000)", ,"Y"
"Line(06100)", ,"N"
"Line(06300)", ,"N"
"Line(07000)", ,"N"
"Line(07500)", ,"Y"
"Line(07600)", ,"Y","N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(08700)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","N"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","N"
"Line(09600)", ,"N","N"
"Line(10500)", ,"N"
"Line(10800)", ,"N"
"Line(10900)", ,"Y","Y","Y","N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"Y"
"Line(11800)", ,"1"
"Line(11801)", ,"1241748","5662427","21060230"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"N"
"Line(12500)", ,"Y"
"Line(12600)", ,"01/01/1985"
"Line(12700)", ,"10/17/1986"
"Line(12800)", ,"10/10/2000"
"Line(12900)", ,"02/02/1995"
"Line(14000)", ,"Y","902022"
"Line(14100)", ,"TRINITY HEALTH HOME OFFICE","WISCONSIN PHYSICIAN SERVICE","06101"
"Line(14200)", ,"20555 VICTORY PARKWAY"
"Line(14300)", ,"LIVONIA","MI","48152"
"Line(14400)", ,"N"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16110)", , ,"N","N","N"
"Line(16120)", , ,"N","N","N"
"Line(16130)", , ,"N","N","N"
"Line(16140)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"10/01/2013","09/30/2014"
