"----------"," Entity 572851"," Report D00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572851] Report(D00A181[00100])", ,"Entity[572851] Report(D00A181[00300])","Entity[572851] Report(D00A181[00400])","Entity[572851] Report(D00A181[00500])","Entity[572851] Report(D00A181[00600])","Entity[572851] Report(D00A181[00700])", , , , , , , , , , , , 
 ,"12759151", ,"12759151","180174","71","48627","3443764", , , , , , , , , , , , 
 ,"1217831", ,"1217831","10369","117","4157","488240", , , , , , , , , , , , 
 ,"1838080", ,"1838080","14624","126", , , , , , , , , , , , , , 
 ,"688836", ,"688836","5494","125","2590","324734", , , , , , , , , , , , 
 ,"404546", ,"404546","2796","145","1100","159159", , , , , , , , , , , , 
 ,"1619098", ,"1619098","15423","105","6134","643947", , , , , , , , , , , , 
 ,"1031723", ,"1031723","9253","112","3284","366166", , , , , , , , , , , , 
 ,"635016", ,"635016","6720","95","2640","249480", , , , , , , , , , , , 
 ,"981048", ,"981048","4541","216","49","10586", , , , , , , , , , , , 
 ,"154463", ,"154463","662","233","104","24266", , , , , , , , , , , , 
 ,"644205", ,"644205","6476","99","126","12534", , , , , , , , , , , , 
 ,"764794", ,"764794","10308","74", , , , , , , , , , , , , , 
 ,"1222408", ,"1222408","24760","49","4987","246208", , , , , , , , , , , , 
 ,"472912", ,"472912","3385","140","13","1816", , , , , , , , , , , , 
 ,"137221", ,"137221","17097","8", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report D00A182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[572851] Report(D00A182[00100])","Entity[572851] Report(D00A182[00200])","Entity[572851] Report(D00A182[00300])","Entity[572851] Report(D00A182[00400])","Entity[572851] Report(D00A182[00500])", , , , , , , , , , , , , , 
 ,"8499251","368142090","0","80301902","1853930", , , , , , , , , , , , , , 
 ,"82452","515164","0","270","43", , , , , , , , , , , , , , 
 ,"1370117","59181129","0","7794584","180452", , , , , , , , , , , , , , 
 ,"1741746","54684366","0","252345","8037", , , , , , , , , , , , , , 
 ,"1468817","436277705","0","66631126","224347", , , , , , , , , , , , , , 
 ,"4875228","168682214","0","25374208","733365", , , , , , , , , , , , , , 
 ,"2585403","62805180","0","1404263","57806", , , , , , , , , , , , , , 
 ,"611797","16094533","0","1523310","57906", , , , , , , , , , , , , , 
 ,"731422","200213569","0","25377710","92705", , , , , , , , , , , , , , 
 ,"1126268","75892736","0","7637126","113335", , , , , , , , , , , , , , 
 ,"2771961","142973150","0","26790082","519406", , , , , , , , , , , , , , 
 ,"4378451","615800782","0","80940380","575486", , , , , , , , , , , , , , 
 ,"115694","6645625","0","319378","5560", , , , , , , , , , , , , , 
 ,"108908","9626070","0","427252","4834", , , , , , , , , , , , , , 
 ,"1506369","64929999","0","19284098","447391", , , , , , , , , , , , , , 
 ,"627340","25652243","0","7498029","183372", , , , , , , , , , , , , , 
 ,"39547","3412921","0","1400038","16222", , , , , , , , , , , , , , 
 ,"800667","58008093","0","9800412","135275", , , , , , , , , , , , , , 
 ,"4170930","85146053","0","20909932","1024294", , , , , , , , , , , , , , 
 ,"2251141","294503999","0","74441269","569029", , , , , , , , , , , , , , 
 ,"3007977","316340361","0","56425561","536551", , , , , , , , , , , , , , 
 ,"678716","14975699","0","3629531","164494", , , , , , , , , , , , , , 
 ,"1452194","92205489","0","1735796","27339", , , , , , , , , , , , , , 
 ,"79062","127050","1","18735","11659", , , , , , , , , , , , , , 
 ,"83630","5877788","0","546916","7782", , , , , , , , , , , , , , 
 ,"3325909","54505550","0","4999391","305063", , , , , , , , , , , , , , 
 ,"90705","1644012","0","142588","7867", , , , , , , , , , , , , , 
 ,"227230","2647666","0","742","64", , , , , , , , , , , , , , 
 ,"546268","2528692","0", , , , , , , , , , , , , , , , 
 ,"567390","5578463","0","345","35", , , , , , , , , , , , , , 
 ,"1258156","11053097","0","66859","7610", , , , , , , , , , , , , , 
 ,"2492360","13130041","0","14431","2739", , , , , , , , , , , , , , 
 ,"171579","1985051","0", , , , , , , , , , , , , , , , 
 ,"22339","75444","0", , , , , , , , , , , , , , , , 
 ,"231810","5626481","0","1699","70", , , , , , , , , , , , , , 
 ,"70248","775374","0","54","5", , , , , , , , , , , , , , 
 ,"866631","9246204","0","9463","887", , , , , , , , , , , , , , 
 ,"35010","760695","0", , , , , , , , , , , , , , , , 
 ,"65574","574896","0","7299","833", , , , , , , , , , , , , , 
 ,"3560","186423","0", , , , , , , , , , , , , , , , 
 ,"285172","638644","0","2525","1127", , , , , , , , , , , , , , 
 ,"128560","3301907","0","7136","278", , , , , , , , , , , , , , 
 ,"1988058","152754002","0","137389","1788", , , , , , , , , , , , , , 
 ,"260845","3612544","0","3859","279", , , , , , , , , , , , , , 
 ,"154842","1338764","0","143","17", , , , , , , , , , , , , , 
 ,"132614","1340183","0","5361","530", , , , , , , , , , , , , , 
 ,"359083","13553075","0","2180196","57764", , , , , , , , , , , , , , 
 ,"153667","13175457","0","43885","512", , , , , , , , , , , , , , 
 ,"16993","1100868","0", , , , , , , , , , , , , , , , 
 ,"26033","2368032","0","3071","34", , , , , , , , , , , , , , 
 ,"68184","382274","0","732","131", , , , , , , , , , , , , , 
 ,"2454095","174932734","0","19230623","269786", , , , , , , , , , , , , , 
 ,"320827","5482245","0", , , , , , , , , , , , , , , , 
 ,"581675","40613248","0", , , , , , , , , , , , , , , , 
 ,"136121","12027910","0","759534","8596", , , , , , , , , , , , , , 
 ,"1683846","32981879","0","2020014","103130", , , , , , , , , , , , , , 
 ,"722208","20141424","0","425004","15239", , , , , , , , , , , , , , 
 ,"150741","10292868","0", , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report D00A183 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","","", , , , , , , 
"","   [ ]  Title XIX","","","","","","","","","","", , , , , , , , 
"","","","","All","Swing-Bed","","","","","Inpatient","", , , , , , , , 
"","",""," ","Other ","Adjustment","Total Costs","","Per","","Program","", , , , , , , , 
"","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through","", , , , , , , , 
"","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost","", , , , , , , 
"","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)","", , , , , , , , 
"Cost Center Description","","1","2","3","4","5","6","7","8","9","", , , , , , , , 
" INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","","", , , , , , , , 
" Adults & Pediatrics","","","","","","","","","","","", , , , , , , , 
" (General Routine Care)","","","","","","","","","","","30", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Intensive Care Unit","","","","","","","","","","","31", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Coronary Care Unit","","","","","","","","","","","32", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Burn Intensive Care Unit","","","","","","","","","","","33", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Surgical Intensive Care Unit","","","","","","","","","","","34", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Other Special Care Unit (specify)","","","","","","","","","","","35", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Subprovider IPF","","","","","","","","","","","40", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Subprovider IRF","","","","","","","","","","","41", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Subprovider  (Other)","","","","","","","","","","","42", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Nursery","","","","","","","","","","","43", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Skilled Nursing Facility","","","","","","","","","","","44", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Nursing Facility","","","","","","","","","","","45", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Total (sum of lines 30-199)","","","","","","","","","","","200", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
"(A) Worksheet A line numbers","","","","","","","","","","","", , , , , , , , 
 ,"Entity[572851] Report(D00A183[00100])","Entity[572851] Report(D00A183[00200])", , ,"Entity[572851] Report(D00A183[00500])","Entity[572851] Report(D00A183[00600])","Entity[572851] Report(D00A183[00700])","Entity[572851] Report(D00A183[00800])","Entity[572851] Report(D00A183[00900])", , , , , , , , , , 
 ,"3245771","432901", , ,"3678672","180174","20","48627","992963", , , , , , , , , , 
 ,"291960","28706", , ,"320666","10369","31","4157","128576", , , , , , , , , , 
 , ,"40486", , ,"40486","14624","3", , , , , , , , , , , , 
 , ,"15210", , ,"15210","5494","3","2590","7174", , , , , , , , , , 
 , ,"7741", , ,"7741","2796","3","1100","3047", , , , , , , , , , 
 ,"250977","42698", , ,"293675","15423","19","6134","116791", , , , , , , , , , 
 , ,"25617", , ,"25617","9253","3","3284","9097", , , , , , , , , , 
 , ,"18604", , ,"18604","6720","3","2640","7313", , , , , , , , , , 
 ,"41339","12572", , ,"53911","4541","12","49","582", , , , , , , , , , 
 , ,"1833", , ,"1833","662","3","104","288", , , , , , , , , , 
 , ,"17929", , ,"17929","6476","3","126","349", , , , , , , , , , 
