"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000G0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000G0)","Entity[572851] Report(A6000G0[00000])","Entity[572851] Report(A6000G0[00100])", ,"Entity[572851] Report(A6000G0[00300])", ,"Entity[572851] Report(A6000G0[00500])", ,"Entity[572851] Report(A6000G0[00700])", ,"Entity[572851] Report(A6000G0[00900])"
"Line(00100)","FILE 300.19 LAB","G", ,"60", ,"6533727", ,"9", ,"66"
"Line(00200)","FILE 300.19 LAB","G", ,"5", ,"291", ,"10", ,"217"
"Line(00300)","FILE 300.19 LAB","G", , , , , ,"14", ,"232"
"Line(00400)","FILE 300.19 LAB","G", , , , , ,"15", ,"4234508"
"Line(00500)","FILE 300.19 LAB","G", , , , , ,"20", ,"9175"
"Line(00600)","FILE 300.19 LAB","G", , , , , ,"22", ,"542"
"Line(00700)","FILE 300.19 LAB","G", , , , , ,"23", ,"6001"
"Line(00800)","FILE 300.19 LAB","G", , , , , ,"30", ,"199096"
"Line(00900)","FILE 300.19 LAB","G", , , , , ,"31", ,"26728"
"Line(01000)","FILE 300.19 LAB","G", , , , , ,"31", ,"52339"
"Line(01100)","FILE 300.19 LAB","G", , , , , ,"32", ,"16976"
"Line(01200)","FILE 300.19 LAB","G", , , , , ,"32", ,"10436"
"Line(01300)","FILE 300.19 LAB","G", , , , , ,"34", ,"25231"
"Line(01400)","FILE 300.19 LAB","G", , , , , ,"34", ,"29420"
"Line(01500)","FILE 300.19 LAB","G", , , , , ,"34", ,"11176"
"Line(01600)","FILE 300.19 LAB","G", , , , , ,"34", ,"6838"
"Line(01700)","FILE 300.19 LAB","G", , , , , ,"34", ,"429"
"Line(01800)","FILE 300.19 LAB","G", , , , , ,"34", ,"3361"
"Line(01900)","FILE 300.19 LAB","G", , , , , ,"34", ,"6018"
"Line(02000)","FILE 300.19 LAB","G", , , , , ,"40", ,"8472"
"Line(02100)","FILE 300.19 LAB","G", , , , , ,"41", ,"715"
"Line(02200)","FILE 300.19 LAB","G", , , , , ,"50", ,"124566"
"Line(02300)","FILE 300.19 LAB","G", , , , , ,"50", ,"27135"
"Line(02400)","FILE 300.19 LAB","G", , , , , ,"51", ,"9077"
"Line(02500)","FILE 300.19 LAB","G", , , , , ,"52", ,"41398"
"Line(02600)","FILE 300.19 LAB","G", , , , , ,"53", ,"585702"
"Line(02700)","FILE 300.19 LAB","G", , , , , ,"54", ,"4801"
"Line(02800)","FILE 300.19 LAB","G", , , , , ,"55", ,"1228"
"Line(02900)","FILE 300.19 LAB","G", , , , , ,"56", ,"1025"
"Line(03000)","FILE 300.19 LAB","G", , , , , ,"57", ,"685"
"Line(03100)","FILE 300.19 LAB","G", , , , , ,"58", ,"292"
"Line(03200)","FILE 300.19 LAB","G", , , , , ,"59", ,"33222"
"Line(03300)","FILE 300.19 LAB","G", , , , , ,"66", ,"62"
