"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000H0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000H0)","Entity[572851] Report(A6000H0[00000])","Entity[572851] Report(A6000H0[00100])", ,"Entity[572851] Report(A6000H0[00300])","Entity[572851] Report(A6000H0[00400])", , ,"Entity[572851] Report(A6000H0[00700])","Entity[572851] Report(A6000H0[00800])"
"Line(00100)","FILE 300.20 I&R SALARY","H", ,"21","13680980", , ,"22","12656116"
"Line(00200)","FILE 300.20 I&R SALARY","H", , , , , ,"31","975"
"Line(00300)","FILE 300.20 I&R SALARY","H", , , , , ,"77","9910"
"Line(00400)","FILE 300.20 I&R SALARY","H", , , , , ,"90","58779"
"Line(00500)","FILE 300.20 I&R SALARY","H", , , , , ,"90","64506"
"Line(00600)","FILE 300.20 I&R SALARY","H", , , , , ,"90","4469"
"Line(00700)","FILE 300.20 I&R SALARY","H", , , , , ,"90","446"
"Line(00800)","FILE 300.20 I&R SALARY","H", , , , , ,"90","88285"
"Line(00900)","FILE 300.20 I&R SALARY","H", , , , , ,"91","1850"
"Line(01000)","FILE 300.20 I&R SALARY","H", , , , , ,"105","6859"
"Line(01100)","FILE 300.20 I&R SALARY","H", , , , , ,"107","74333"
"Line(01200)","FILE 300.20 I&R SALARY","H", , , , , ,"191","18337"
"Line(01300)","FILE 300.20 I&R SALARY","H", , , , , ,"194","695897"
"Line(01400)","FILE 300.20 I&R SALARY","H", , , , , ,"194","218"
