"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A810000 ","-------------","-------------","-----------",""
"","","","","","Amount of","included in","Adjustments","Wkst.",""
"","","","","","Allowable","Wkst. A","(col. 4 minus","A-7",""
"","","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"","","1","2","3","4","5","6","7",""
"Entity[572851] Report(A810000)", ,"Entity[572851] Report(A810000[00100])","Entity[572851] Report(A810000[00200])","Entity[572851] Report(A810000[00300])","Entity[572851] Report(A810000[00400])","Entity[572851] Report(A810000[00500])","Entity[572851] Report(A810000[00600])"
"Line(00100)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE COST","225","140","85"
"Line(00200)", ,"5","ADMINISTRATIVE & GENERAL","HOME OFFICE COST","207443414","187624602","19818812"
"Line(00300)", ,"7","OPERATION OF PLANT","HOME OFFICE COST","329152","297376","31776"
"Line(00301)", ,"8","LAUNDRY & LINEN SERVICE","HOME OFFICE COST","4498068","4112552","385516"
"Line(00302)", ,"9","HOUSEKEEPING","HOME OFFICE COST","147875","135480","12395"
"Line(00303)", ,"10","DIETARY","HOME OFFICE COST","75780","79867","-4087"
"Line(00304)", ,"13","NURSING ADMINISTRATION","HOME OFFICE COST","39443","40127","-684"
"Line(00305)", ,"14","CENTRAL SERVICES & SUPPLY","HOME OFFICE COST","97628","91066","6562"
"Line(00306)", ,"15","PHARMACY","HOME OFFICE COST","3468616","2354663","1113953"
"Line(00307)", ,"16","MEDICAL RECORDS & LIBRARY","HOME OFFICE COST","405066","346639","58427"
"Line(00308)", ,"17","SOCIAL SERVICE","HOME OFFICE COST","64121","58371","5750"
"Line(00309)", ,"18","VOLUNTEERS","HOME OFFICE COST","2840","2640","200"
"Line(00310)", ,"20","NURSING SCHOOL","HOME OFFICE COST","831354","936165","-104811"
"Line(00311)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","HOME OFFICE COST","625692","630752","-5060"
"Line(00312)", ,"23","PARAMED ED PRGM-(SPECIFY)","HOME OFFICE COST","261","255","6"
"Line(00313)", ,"23","PARAMED X-RAY","HOME OFFICE COST","326","319","7"
"Line(00314)", ,"23","PARAMED CRNA","HOME OFFICE COST","50318","56375","-6057"
"Line(00315)", ,"23","PASTORAL CARE","HOME OFFICE COST","65522","72666","-7144"
"Line(00316)", ,"23","PARAMED PHARMACY","HOME OFFICE COST","202","197","5"
"Line(00317)", ,"30","ADULTS & PEDIATRICS","HOME OFFICE COST","736770","561803","174967"
"Line(00318)", ,"31","INTENSIVE CARE UNIT","HOME OFFICE COST","2084711","1438117","646594"
"Line(00319)", ,"31","NEONATAL INTENSIVE CARE UNIT","HOME OFFICE COST","75675","75252","423"
"Line(00320)", ,"32","CORONARY CARE UNIT","HOME OFFICE COST","15569","14266","1303"
"Line(00321)", ,"32","CVRU","HOME OFFICE COST","839","803","36"
"Line(00322)", ,"34","NEURO INTENSIVE CARE UNIT","HOME OFFICE COST","42800","29910","12890"
"Line(00323)", ,"34","TRAUMA INTENSIVE CARE UNIT","HOME OFFICE COST","5689","5165","524"
"Line(00324)", ,"34","PROGRESSIVE INTENSIVE CARE UNIT","HOME OFFICE COST","3537","3163","374"
"Line(00325)", ,"34","PEDIATRIC INTENSIVE CARE UNIT","HOME OFFICE COST","70359","71739","-1380"
"Line(00326)", ,"34","EPILEPSY INTENSIVE CARE UNIT","HOME OFFICE COST","833","729","104"
"Line(00327)", ,"34","PEDS PROGRESSIVE INTENSIVE CARE UNI","HOME OFFICE COST","12182","9070","3112"
"Line(00328)", ,"34","NEONATAL PROGRESSIVE ICU","HOME OFFICE COST","5114","4511","603"
"Line(00329)", ,"40","SUBPROVIDER - IPF","HOME OFFICE COST","96575","89111","7464"
"Line(00330)", ,"41","SUBPROVIDER - IRF","HOME OFFICE COST","1694","1631","63"
"Line(00331)", ,"50","OPERATING ROOM","HOME OFFICE COST","703915","644442","59473"
"Line(00332)", ,"50","BONE MARROW TRANSPLANT","HOME OFFICE COST","4738","4199","539"
"Line(00333)", ,"51","RECOVERY ROOM","HOME OFFICE COST","63339","49820","13519"
"Line(00334)", ,"52","DELIVERY ROOM & LABOR ROOM","HOME OFFICE COST","304018","332023","-28005"
"Line(00335)", ,"53","ANESTHESIOLOGY","HOME OFFICE COST","9472","9230","242"
"Line(00336)", ,"54","RADIOLOGY-DIAGNOSTIC","HOME OFFICE COST","969750","1055845","-86095"
"Line(00337)", ,"55","RADIOLOGY-THERAPEUTIC","HOME OFFICE COST","771189","878932","-107743"
"Line(00338)", ,"56","RADIOISOTOPE","HOME OFFICE COST","16759","16850","-91"
"Line(00339)", ,"57","CT SCAN","HOME OFFICE COST","3877","3589","288"
"Line(00340)", ,"58","MRI","HOME OFFICE COST","940","888","52"
"Line(00341)", ,"59","CARDIAC CATHETERIZATION","HOME OFFICE COST","42334","39613","2721"
"Line(00342)", ,"60","LABORATORY","HOME OFFICE COST","3366119","3422709","-56590"
"Line(00343)", ,"60","CYTOLOGY","HOME OFFICE COST","8837","8172","665"
"Line(00344)", ,"60","LAB - TISSUE TYPING","HOME OFFICE COST","17330","16179","1151"
"Line(00345)", ,"65","RESPIRATORY THERAPY","HOME OFFICE COST","44429","41471","2958"
"Line(00346)", ,"66","PHYSICAL THERAPY","HOME OFFICE COST","3060","2715","345"
"Line(00347)", ,"69","ELECTROCARDIOLOGY","HOME OFFICE COST","54117","50521","3596"
"Line(00348)", ,"71","MEDICAL SUPPLIES CHARGED TO PATIENT","HOME OFFICE COST","28563","26891","1672"
"Line(00349)", ,"74","RENAL DIALYSIS","HOME OFFICE COST","16734","13823","2911"
"Line(00350)", ,"75","ASC (NON-DISTINCT PART)","HOME OFFICE COST","1195382","1350490","-155108"
"Line(00351)", ,"76","ORTHOPAEDIC SERVICES","HOME OFFICE COST","202","126","76"
"Line(00352)", ,"76","ENDOSCOPY","HOME OFFICE COST","26006","27596","-1590"
"Line(00353)", ,"77","CARDIAC REHABILITATION","HOME OFFICE COST","168946","192785","-23839"
"Line(00354)", ,"90","CLINIC","HOME OFFICE COST","532268","584001","-51733"
"Line(00355)", ,"90","MENTAL HEALTH O/P CLINIC","HOME OFFICE COST","149036","148476","560"
"Line(00356)", ,"90","CLINIC - CHILD OP RESP CTR","HOME OFFICE COST","1764684","1976096","-211412"
"Line(00357)", ,"90","CLINIC - ONCOLOGY","HOME OFFICE COST","3183844","3586438","-402594"
"Line(00358)", ,"90","CLINIC - MYERS PARK","HOME OFFICE COST","5295400","5779034","-483634"
"Line(00359)", ,"90","CLINIC - DENTISTRY","HOME OFFICE COST","160922","181170","-20248"
"Line(00360)", ,"90","CLINIC - PED RESP CTR","HOME OFFICE COST","46134","51181","-5047"
"Line(00361)", ,"90","CLINIC - NORTHPARK","HOME OFFICE COST","502451","537996","-35545"
"Line(00362)", ,"90","TEEN HEALTH CONNECTION","HOME OFFICE COST","240199","252575","-12376"
"Line(00363)", ,"90","WOMENS INSTITUTE","HOME OFFICE COST","727439","810622","-83183"
"Line(00364)", ,"90","DIABETES CENTER","HOME OFFICE COST","115742","128967","-13225"
"Line(00365)", ,"90","POST TRANSPLANT CLINIC","HOME OFFICE COST","43624","44367","-743"
"Line(00366)", ,"90","CMC SURGERY","HOME OFFICE COST","354952","374151","-19199"
"Line(00367)", ,"90","CMC ORTHOPEDICS","HOME OFFICE COST","96692","91521","5171"
"Line(00368)", ,"90","INFUSION CENTER","HOME OFFICE COST","1932296","1689430","242866"
"Line(00369)", ,"90","PEDIATRIC ONCOLOGY","HOME OFFICE COST","535682","585137","-49455"
"Line(00370)", ,"90","NEUROMUSCULAR (ALS) CENTER","HOME OFFICE COST","125900","107733","18167"
"Line(00371)", ,"90","CHF CLINIC","HOME OFFICE COST","25092","23356","1736"
"Line(00372)", ,"90","NEUROSCIENCE CLINIC","HOME OFFICE COST","628614","689403","-60789"
"Line(00373)", ,"90","PAIN MANAGEMENT","HOME OFFICE COST","699294","728512","-29218"
"Line(00374)", ,"90","SLEEP LAB","HOME OFFICE COST","60721","67723","-7002"
"Line(00375)", ,"90","WOUND CARE","HOME OFFICE COST","35921","40346","-4425"
"Line(00376)", ,"90","LIVER CLINIC","HOME OFFICE COST","266455","303293","-36838"
"Line(00377)", ,"91","EMERGENCY","HOME OFFICE COST","639957","562657","77300"
"Line(00378)", ,"91","EMERGENCY-SUBPROVIDER","HOME OFFICE COST","171475","157153","14322"
