"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report D00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(D00A181)", ,"Entity[572851] Report(D00A181[00100])", ,"Entity[572851] Report(D00A181[00300])","Entity[572851] Report(D00A181[00400])","Entity[572851] Report(D00A181[00500])","Entity[572851] Report(D00A181[00600])","Entity[572851] Report(D00A181[00700])"
"Line(03000)", ,"12759151", ,"12759151","180174","71","48627","3443764"
"Line(03100)", ,"1217831", ,"1217831","10369","117","4157","488240"
"Line(03101)", ,"1838080", ,"1838080","14624","126"
"Line(03200)", ,"688836", ,"688836","5494","125","2590","324734"
"Line(03201)", ,"404546", ,"404546","2796","145","1100","159159"
"Line(03401)", ,"1619098", ,"1619098","15423","105","6134","643947"
"Line(03402)", ,"1031723", ,"1031723","9253","112","3284","366166"
"Line(03403)", ,"635016", ,"635016","6720","95","2640","249480"
"Line(03404)", ,"981048", ,"981048","4541","216","49","10586"
"Line(03405)", ,"154463", ,"154463","662","233","104","24266"
"Line(03406)", ,"644205", ,"644205","6476","99","126","12534"
"Line(03407)", ,"764794", ,"764794","10308","74"
"Line(04000)", ,"1222408", ,"1222408","24760","49","4987","246208"
"Line(04100)", ,"472912", ,"472912","3385","140","13","1816"
"Line(04300)", ,"137221", ,"137221","17097","8"
