"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report S300004 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(S300004)", ,"Entity[572851] Report(S300004[00100])"
"Line(00100)", ,"14717304"
"Line(00400)", ,"18305887"
"Line(00800)", ,"70984434"
"Line(01000)", ,"2113404"
"Line(01100)", ,"537518"
"Line(01300)", ,"2806779"
"Line(01500)", ,"2875666"
"Line(01700)", ,"40296378"
"Line(01900)", ,"1177882"
"Line(02300)", ,"1403596"
