"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572851] Report(B000001)","Entity[572851] Report(B000001[00000])","Entity[572851] Report(B000001[00100])","Entity[572851] Report(B000001[00200])", ,"Entity[572851] Report(B000001[00400])","Entity[572851] Report(B000001[00500])", ,"Entity[572851] Report(B000001[00700])","Entity[572851] Report(B000001[00800])","Entity[572851] Report(B000001[00900])","Entity[572851] Report(B000001[01000])","Entity[572851] Report(B000001[01100])", ,"Entity[572851] Report(B000001[01300])","Entity[572851] Report(B000001[01400])","Entity[572851] Report(B000001[01500])","Entity[572851] Report(B000001[01600])","Entity[572851] Report(B000001[01700])","Entity[572851] Report(B000001[01800])", ,"Entity[572851] Report(B000001[02000])","Entity[572851] Report(B000001[02100])","Entity[572851] Report(B000001[02200])","Entity[572851] Report(B000001[02300])","Entity[572851] Report(B000001[02400])","Entity[572851] Report(B000001[02500])","Entity[572851] Report(B000001[02600])"
"Line(00100)","27724131","27724131"
"Line(00200)","43161095", ,"43161095"
"Line(00400)","169072442", ,"79", ,"169072521"
"Line(00500)","202471020","1407147","3574989", ,"5112255","212565411"
"Line(00700)","25092534","190224","159796", ,"1740645","5157577", ,"32340776"
"Line(00800)","4781688","47770","650", ,"76307","930914", ,"59131","5896460"
"Line(00900)","11053375","567914","45134", ,"1597025","2516527", ,"702988", ,"16482963"
"Line(01000)","14243314","1422418","182953", ,"325202","3068736", ,"1760728", ,"348107","21351458"
"Line(01100)", , , , , , , , , , ,"12105564","12105564"
"Line(01300)","16076197","304534","5197661", ,"1876628","4450215", ,"376965", ,"353592", ,"122677", ,"28758469"
"Line(01400)","10666149","260789","85702", ,"513827","2186963", ,"322815","79241","167045", ,"71035", ,"10319","14363885"
"Line(01500)","20569727","425157","550011", ,"4685951","4976883", ,"526277", ,"213141", ,"301167", , ,"46067","32294381"
"Line(01600)","8305780","274957","13040", ,"1467783","1909020", ,"340353", ,"120062", ,"173638", , ,"232", ,"12604865"
"Line(01700)","8715947","158193","27653", ,"2394185","2143231", ,"195818", ,"48424", ,"214113", ,"32679","153","3774", ,"13934170"
"Line(01800)","218280","32168","410", ,"50791","57233", ,"39819", ,"16289", ,"5954", , ,"884", , , ,"421828"
"Line(02000)","2742294", ,"51414", ,"1052964","729844", , , ,"187267", ,"67452", ,"10800","270","738", , , , ,"4843043"
"Line(02100)","13680980", , , ,"3742432","3305814", , , , , , , , , , , , , , , ,"20729226"
"Line(02200)","21074912","231819","380808", ,"6011285","5255409", ,"286955","14230","115241", ,"488008", ,"9626","1700","285","45909", , , , , ,"33916187"
"Line(02300)","514406", ,"810", ,"137665","123874", , , ,"57621", ,"81328", , ,"165","27", , , , , , , ,"915896"
"Line(02301)","725143", ,"882", ,"143720","165020", , , ,"57621", ,"85860"
"Line(02302)","1295833", ,"2694", ,"386933","319789", , , ,"28810", ,"31796", , ,"80"
"Line(02303)","386403","45840","3800", ,"102125","102109", ,"56743", ,"40335", ,"24001", , ,"2"
"Line(02304)","220231", , , ,"52133","51677", , , ,"57621", ,"41585", , ,"2"
"Line(02305)","504647", ,"877", ,"131802","120922", , , ,"28810", ,"8721", ,"13"
"Line(03000)","70556445","5526878","846506", ,"18295477","18066965", ,"6841395","1372718","3315795","4731562","2214178", ,"8811899","287321","245971","595847","9913329","208962", ,"3245771","8408048","13756854", ,"177674822","-22164902","155509920"
"Line(03100)","5869863","535581","95786", ,"3091586","1820083", ,"662964","84643","315529","277841","195259", ,"871925","70289","34193","141801","91596","8192", ,"291960","361740","591862", ,"15441399","-953602","14487797"
"Line(03101)","9611809","626269","469463", ,"4309175","2849182", ,"775221","58139","190148", ,"257909", ,"1049566","60462","28341","175665","171053","13595", , ,"423921","693600", ,"21804004","-1117521","20686483"
"Line(03200)","4204564","238875","124362", ,"1020725","1060333", ,"295690","55348","190702","155527","99231", ,"485602","29042","19949","60971","111460","3275", , ,"217206","355382", ,"8743454","-572588","8170866"
"Line(03201)","2517595","191574","19519", ,"619040","635178", ,"237138","27321","161338","79147","55158", ,"269032","16489","16332","33793","8277", , , ,"110539","180859", ,"5186070","-291398","4894672"
"Line(03401)","9586606","802269","98512", ,"2346357","2434998", ,"993081","70573","322676","247127","231663", ,"1010557","65249","33719","118760","54626","6043", ,"250977","344225","563205", ,"19623921","-907430","18716491"
"Line(03402)","7272396","463885","24728", ,"1716508","1798207", ,"574216","86666","322676","261933","161545", ,"765019","71580","44101","123357","57661","3729", , ,"365792","598492", ,"14738108","-964284","13773824"
"Line(03403)","4410610","249129","49796", ,"1046705","1092154", ,"308382","75386","86431","190228","107834", ,"505561","41384","8959","41959","268994", , , ,"265654","434651", ,"9202421","-700305","8502116"
"Line(03404)","4280639","374328","229159", ,"1874453","1282332", ,"463358","72153","161338","128548","118598", ,"517500","37608","25628","68552","50212","4545", ,"41339","532209","870775", ,"11145846","-1402984","9742862"
"Line(03405)","412347","53420","51430", ,"108281","118674", ,"66126","7327","161338","18737","10991", ,"57825","465","61","3997", ,"1735", , , , , ,"1074587", ,"1074587"
"Line(03406)","3495970","282675","44445", ,"837155","884207", ,"349907","85091","161338","183320","101283", ,"424714","20985","8562","38532","724491","4690", , , , , ,"7665294", ,"7665294"
"Line(03407)","4386022","280443","106592", ,"1104896","1115248", ,"347143","118989","161338","291797","117286", ,"501818","19570","919","69404","712076", , , , , , ,"9362079", ,"9362079"
"Line(04000)","9595258","522074","11145", ,"2456150","2387732", ,"646245","121034","748294","952327","252535", ,"489371","6459","168","115119", , , ,"292405", , , ,"18664864", ,"18664864"
"Line(04100)","1424513","324932","6904", ,"378253","405007", ,"402214","59812", ,"95820","43880", ,"162029","5838","1682","15326", ,"6074", , , , , ,"3341655", ,"3341655"
"Line(04300)","3250430", , , ,"823905","773040", , ,"64899","172862", , , , , , ,"29652","339071","34885", , ,"317254","519076", ,"6325074","-836330","5488744"
