"----------"," Entity 572875"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572875] Report(B000001[00000])", ,"Entity[572875] Report(B000001[00200])", ,"Entity[572875] Report(B000001[00400])", ,"Entity[572875] Report(B000001[00600])","Entity[572875] Report(B000001[00700])","Entity[572875] Report(B000001[00800])","Entity[572875] Report(B000001[00900])","Entity[572875] Report(B000001[01000])","Entity[572875] Report(B000001[01100])", ,"Entity[572875] Report(B000001[01300])","Entity[572875] Report(B000001[01400])","Entity[572875] Report(B000001[01500])","Entity[572875] Report(B000001[01600])","Entity[572875] Report(B000001[01700])","Entity[572875] Report(B000001[01800])", ,"Entity[572875] Report(B000001[02000])", , ,"Entity[572875] Report(B000001[02300])","Entity[572875] Report(B000001[02400])","Entity[572875] Report(B000001[02500])","Entity[572875] Report(B000001[02600])"
"2428326", , , , , , , , , , , , , , , , , , , 
"2481382", , , , , , , , , , , , , , , , , , , 
"443084", , , , , , , , , , , , , , , , , , , 
"19425133", , , , , , , , , , , , , , , , , , , 
"803737", , , , , , , , , , , , , , , , , , , 
"3973097", , , , , , , , , , , , , , , , , , , 
"457254", , , , , , , , , , , , , , , , , , , 
"2961338", , , , , , , , , , , , , , , , , , , 
"4559369", , , , , , , , , , , , , , , , , , , 
"39406", , , , , , , , , , , , , , , , , , , 
"1022265", , , , , , , , , , , , , , , , , , , 
"406963", , , , , , , , , , , , , , , , , , , 
"869162", , , , , , , , , , , , , , , , , , , 
