"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000A0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000A0)","Entity[572875] Report(A6000A0[00000])","Entity[572875] Report(A6000A0[00100])", ,"Entity[572875] Report(A6000A0[00300])", ,"Entity[572875] Report(A6000A0[00500])", ,"Entity[572875] Report(A6000A0[00700])", ,"Entity[572875] Report(A6000A0[00900])","Entity[572875] Report(A6000A0[01000])"
"Line(00100)","BLDG DEPRECIATION","A", ,"1", ,"2276859", ,"1", ,"95226414","11"
"Line(00200)","BLDG DEPRECIATION","A", ,"1", ,"2326605", , , , ,"11"
"Line(00300)","BLDG DEPRECIATION","A", ,"1", ,"415447", , , , ,"11"
"Line(00400)","BLDG DEPRECIATION","A", ,"1", ,"16756292", , , , ,"11"
"Line(00500)","BLDG DEPRECIATION","A", ,"1", ,"753604", , , , ,"11"
"Line(00600)","BLDG DEPRECIATION","A", ,"1", ,"3725274", , , , ,"11"
"Line(00700)","BLDG DEPRECIATION","A", ,"1", ,"428733", , , , ,"11"
"Line(00800)","BLDG DEPRECIATION","A", ,"1", ,"2776624", , , , ,"11"
"Line(00900)","BLDG DEPRECIATION","A", ,"1", ,"4274978", , , , ,"11"
"Line(01000)","BLDG DEPRECIATION","A", ,"1", ,"36948", , , , ,"11"
"Line(01100)","BLDG DEPRECIATION","A", ,"1", ,"958501", , , , ,"11"
"Line(01200)","BLDG DEPRECIATION","A", ,"1", ,"381579", , , , ,"11"
"Line(01300)","BLDG DEPRECIATION","A", ,"1", ,"814948", , , , ,"11"
"Line(01400)","BLDG DEPRECIATION","A", ,"1", ,"60463", , , , ,"11"
"Line(01500)","BLDG DEPRECIATION","A", ,"1", ,"1065915", , , , ,"11"
"Line(01600)","BLDG DEPRECIATION","A", ,"1", ,"304968", , , , ,"11"
"Line(01700)","BLDG DEPRECIATION","A", ,"1", ,"135184", , , , ,"11"
"Line(01800)","BLDG DEPRECIATION","A", ,"1", ,"4228653", , , , ,"11"
"Line(01900)","BLDG DEPRECIATION","A", ,"1", ,"2361406", , , , ,"11"
"Line(02000)","BLDG DEPRECIATION","A", ,"1", ,"159045", , , , ,"11"
"Line(02100)","BLDG DEPRECIATION","A", ,"1", ,"1617469", , , , ,"11"
"Line(02200)","BLDG DEPRECIATION","A", ,"1", ,"14049742", , , , ,"11"
"Line(02300)","BLDG DEPRECIATION","A", ,"1", ,"3601085", , , , ,"11"
"Line(02400)","BLDG DEPRECIATION","A", ,"1", ,"8808638", , , , ,"11"
"Line(02500)","BLDG DEPRECIATION","A", ,"1", ,"4946541", , , , ,"11"
"Line(02600)","BLDG DEPRECIATION","A", ,"1", ,"758539", , , , ,"11"
"Line(02700)","BLDG DEPRECIATION","A", ,"1", ,"9622429", , , , ,"11"
"Line(02800)","BLDG DEPRECIATION","A", ,"1", ,"969829", , , , ,"11"
"Line(02900)","BLDG DEPRECIATION","A", ,"1", ,"56770", , , , ,"11"
"Line(03000)","BLDG DEPRECIATION","A", ,"1", ,"321923", , , , ,"11"
"Line(03100)","BLDG DEPRECIATION","A", ,"1", ,"3339035", , , , ,"11"
"Line(03200)","BLDG DEPRECIATION","A", ,"1", ,"1547476", , , , ,"11"
"Line(03300)","BLDG DEPRECIATION","A", ,"1", ,"797926", , , , ,"11"
"Line(03400)","BLDG DEPRECIATION","A", ,"1", ,"546986", , , , ,"11"
