"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000C0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000C0)","Entity[572875] Report(A6000C0[00000])","Entity[572875] Report(A6000C0[00100])", ,"Entity[572875] Report(A6000C0[00300])", ,"Entity[572875] Report(A6000C0[00500])", ,"Entity[572875] Report(A6000C0[00700])", ,"Entity[572875] Report(A6000C0[00900])","Entity[572875] Report(A6000C0[01000])"
"Line(00100)","INTEREST EXPENSE","C", ,"1", ,"151467", ,"1", ,"7451047","11"
"Line(00200)","INTEREST EXPENSE","C", ,"1", ,"154777", , , , ,"11"
"Line(00300)","INTEREST EXPENSE","C", ,"1", ,"27637", , , , ,"11"
"Line(00400)","INTEREST EXPENSE","C", ,"1", ,"2011010", , , , ,"11"
"Line(00500)","INTEREST EXPENSE","C", ,"1", ,"2458", , , , ,"11"
"Line(00600)","INTEREST EXPENSE","C", ,"1", ,"63764", , , , ,"11"
"Line(00700)","INTEREST EXPENSE","C", ,"1", ,"25384", , , , ,"11"
"Line(00800)","INTEREST EXPENSE","C", ,"1", ,"54214", , , , ,"11"
"Line(00900)","INTEREST EXPENSE","C", ,"1", ,"4022", , , , ,"11"
"Line(01000)","INTEREST EXPENSE","C", ,"1", ,"70910", , , , ,"11"
"Line(01100)","INTEREST EXPENSE","C", ,"1", ,"20288", , , , ,"11"
"Line(01200)","INTEREST EXPENSE","C", ,"1", ,"8993", , , , ,"11"
"Line(01300)","INTEREST EXPENSE","C", ,"1", ,"668781", , , , ,"11"
"Line(01400)","INTEREST EXPENSE","C", ,"1", ,"157092", , , , ,"11"
"Line(01500)","INTEREST EXPENSE","C", ,"1", ,"10580", , , , ,"11"
"Line(01600)","INTEREST EXPENSE","C", ,"1", ,"107602", , , , ,"11"
"Line(01700)","INTEREST EXPENSE","C", ,"1", ,"934654", , , , ,"11"
"Line(01800)","INTEREST EXPENSE","C", ,"1", ,"239561", , , , ,"11"
"Line(01900)","INTEREST EXPENSE","C", ,"1", ,"418359", , , , ,"11"
"Line(02000)","INTEREST EXPENSE","C", ,"1", ,"329067", , , , ,"11"
"Line(02100)","INTEREST EXPENSE","C", ,"1", ,"50462", , , , ,"11"
"Line(02200)","INTEREST EXPENSE","C", ,"1", ,"640129", , , , ,"11"
"Line(02300)","INTEREST EXPENSE","C", ,"1", ,"64518", , , , ,"11"
"Line(02400)","INTEREST EXPENSE","C", ,"1", ,"3777", , , , ,"11"
"Line(02500)","INTEREST EXPENSE","C", ,"1", ,"21416", , , , ,"11"
"Line(02600)","INTEREST EXPENSE","C", ,"1", ,"222128", , , , ,"11"
"Line(02700)","INTEREST EXPENSE","C", ,"1", ,"102945", , , , ,"11"
"Line(02800)","INTEREST EXPENSE","C", ,"1", ,"53082", , , , ,"11"
"Line(02900)","INTEREST EXPENSE","C", ,"1", ,"36388", , , , ,"11"
"Line(03000)","INTEREST EXPENSE","C", ,"1", ,"50133", , , , ,"11"
"Line(03100)","INTEREST EXPENSE","C", ,"1", ,"247823", , , , ,"11"
"Line(03200)","INTEREST EXPENSE","C", ,"1", ,"28521", , , , ,"11"
"Line(03300)","INTEREST EXPENSE","C", ,"1", ,"184714", , , , ,"11"
"Line(03400)","INTEREST EXPENSE","C", ,"1", ,"284391", , , , ,"11"
