"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000N0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000N0)","Entity[572875] Report(A6000N0[00000])","Entity[572875] Report(A6000N0[00100])", ,"Entity[572875] Report(A6000N0[00300])", ,"Entity[572875] Report(A6000N0[00500])", ,"Entity[572875] Report(A6000N0[00700])", ,"Entity[572875] Report(A6000N0[00900])"
"Line(00100)","IMPLANTABLE DEVICES","N", ,"72", ,"32134230", ,"18", ,"204876"
"Line(00200)","IMPLANTABLE DEVICES","N", , , , , ,"50", ,"14448233"
"Line(00300)","IMPLANTABLE DEVICES","N", , , , , ,"53", ,"32813"
"Line(00400)","IMPLANTABLE DEVICES","N", , , , , ,"54", ,"2813071"
"Line(00500)","IMPLANTABLE DEVICES","N", , , , , ,"55", ,"40013"
"Line(00600)","IMPLANTABLE DEVICES","N", , , , , ,"58", ,"22801"
"Line(00700)","IMPLANTABLE DEVICES","N", , , , , ,"59", ,"4683285"
"Line(00800)","IMPLANTABLE DEVICES","N", , , , , ,"69", ,"5184247"
"Line(00900)","IMPLANTABLE DEVICES","N", , , , , ,"76", ,"4703508"
"Line(01000)","IMPLANTABLE DEVICES","N", , , , , ,"90", ,"1383"
