"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000O0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000O0)","Entity[572875] Report(A6000O0[00000])","Entity[572875] Report(A6000O0[00100])", ,"Entity[572875] Report(A6000O0[00300])", ,"Entity[572875] Report(A6000O0[00500])", ,"Entity[572875] Report(A6000O0[00700])", ,"Entity[572875] Report(A6000O0[00900])"
"Line(00100)","PHARMACY CHARGES","O", ,"15", ,"109638972", ,"5", ,"143075"
"Line(00200)","PHARMACY CHARGES","O", , , , , ,"5", ,"334"
"Line(00300)","PHARMACY CHARGES","O", , , , , ,"9", ,"22"
"Line(00400)","PHARMACY CHARGES","O", , , , , ,"14", ,"376"
"Line(00500)","PHARMACY CHARGES","O", , , , , ,"18", ,"3656"
"Line(00600)","PHARMACY CHARGES","O", , , , , ,"21", ,"13798"
"Line(00700)","PHARMACY CHARGES","O", , , , , ,"30", ,"685"
"Line(00800)","PHARMACY CHARGES","O", , , , , ,"31", ,"31"
"Line(00900)","PHARMACY CHARGES","O", , , , , ,"32", ,"49"
"Line(01000)","PHARMACY CHARGES","O", , , , , ,"33", ,"72"
"Line(01100)","PHARMACY CHARGES","O", , , , , ,"34", ,"31"
"Line(01200)","PHARMACY CHARGES","O", , , , , ,"35", ,"366"
"Line(01300)","PHARMACY CHARGES","O", , , , , ,"50", ,"9633214"
"Line(01400)","PHARMACY CHARGES","O", , , , , ,"51", ,"72761"
"Line(01500)","PHARMACY CHARGES","O", , , , , ,"53", ,"2471200"
"Line(01600)","PHARMACY CHARGES","O", , , , , ,"54", ,"1310994"
"Line(01700)","PHARMACY CHARGES","O", , , , , ,"55", ,"26895"
"Line(01800)","PHARMACY CHARGES","O", , , , , ,"55", ,"2352"
"Line(01900)","PHARMACY CHARGES","O", , , , , ,"57", ,"701529"
"Line(02000)","PHARMACY CHARGES","O", , , , , ,"58", ,"904107"
"Line(02100)","PHARMACY CHARGES","O", , , , , ,"59", ,"1111197"
"Line(02200)","PHARMACY CHARGES","O", , , , , ,"60", ,"196256"
"Line(02300)","PHARMACY CHARGES","O", , , , , ,"63", ,"93896"
"Line(02400)","PHARMACY CHARGES","O", , , , , ,"65", ,"2057"
"Line(02500)","PHARMACY CHARGES","O", , , , , ,"66", ,"937"
"Line(02600)","PHARMACY CHARGES","O", , , , , ,"69", ,"146261"
"Line(02700)","PHARMACY CHARGES","O", , , , , ,"70", ,"113"
"Line(02800)","PHARMACY CHARGES","O", , , , , ,"73", ,"63292294"
"Line(02900)","PHARMACY CHARGES","O", , , , , ,"74", ,"354088"
"Line(03000)","PHARMACY CHARGES","O", , , , , ,"76", ,"29106"
"Line(03100)","PHARMACY CHARGES","O", , , , , ,"77", ,"146"
"Line(03200)","PHARMACY CHARGES","O", , , , , ,"90", ,"10370667"
"Line(03300)","PHARMACY CHARGES","O", , , , , ,"91", ,"5119"
"Line(03400)","PHARMACY CHARGES","O", , , , , ,"92", ,"9"
"Line(03500)","PHARMACY CHARGES","O", , , , , ,"94", ,"110050"
"Line(03600)","PHARMACY CHARGES","O", , , , , ,"108", ,"965"
"Line(03700)","PHARMACY CHARGES","O", , , , , ,"110", ,"22486"
"Line(03800)","PHARMACY CHARGES","O", , , , , ,"112", ,"67807"
"Line(03900)","PHARMACY CHARGES","O", , , , , ,"190", ,"18548902"
"Line(04000)","PHARMACY CHARGES","O", , , , , ,"191", ,"8"
"Line(04100)","PHARMACY CHARGES","O", , , , , ,"191", ,"1061"
