"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000Y0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000Y0)","Entity[572875] Report(A6000Y0[00000])","Entity[572875] Report(A6000Y0[00100])", ,"Entity[572875] Report(A6000Y0[00300])","Entity[572875] Report(A6000Y0[00400])", , ,"Entity[572875] Report(A6000Y0[00700])","Entity[572875] Report(A6000Y0[00800])"
"Line(00100)","TEFRA TEACHING SALARY","Y", ,"22","18048615", , ,"4","62612"
"Line(00200)","TEFRA TEACHING SALARY","Y", , , , , ,"5","34336"
"Line(00300)","TEFRA TEACHING SALARY","Y", , , , , ,"5","38776"
"Line(00400)","TEFRA TEACHING SALARY","Y", , , , , ,"5","846176"
"Line(00500)","TEFRA TEACHING SALARY","Y", , , , , ,"5","1720675"
"Line(00600)","TEFRA TEACHING SALARY","Y", , , , , ,"16","2895"
"Line(00700)","TEFRA TEACHING SALARY","Y", , , , , ,"17","8646"
"Line(00800)","TEFRA TEACHING SALARY","Y", , , , , ,"18","10214"
"Line(00900)","TEFRA TEACHING SALARY","Y", , , , , ,"18","5503625"
"Line(01000)","TEFRA TEACHING SALARY","Y", , , , , ,"21","816073"
"Line(01100)","TEFRA TEACHING SALARY","Y", , , , , ,"30","477750"
"Line(01200)","TEFRA TEACHING SALARY","Y", , , , , ,"35","11808"
"Line(01300)","TEFRA TEACHING SALARY","Y", , , , , ,"50","153424"
"Line(01400)","TEFRA TEACHING SALARY","Y", , , , , ,"52","207615"
"Line(01500)","TEFRA TEACHING SALARY","Y", , , , , ,"53","20289"
"Line(01600)","TEFRA TEACHING SALARY","Y", , , , , ,"59","32708"
"Line(01700)","TEFRA TEACHING SALARY","Y", , , , , ,"60","119207"
"Line(01800)","TEFRA TEACHING SALARY","Y", , , , , ,"70","50671"
"Line(01900)","TEFRA TEACHING SALARY","Y", , , , , ,"74","65534"
"Line(02000)","TEFRA TEACHING SALARY","Y", , , , , ,"76","226201"
"Line(02100)","TEFRA TEACHING SALARY","Y", , , , , ,"77","3690"
"Line(02200)","TEFRA TEACHING SALARY","Y", , , , , ,"90","7243910"
"Line(02300)","TEFRA TEACHING SALARY","Y", , , , , ,"91","38948"
"Line(02400)","TEFRA TEACHING SALARY","Y", , , , , ,"94","9965"
"Line(02500)","TEFRA TEACHING SALARY","Y", , , , , ,"105","103941"
"Line(02600)","TEFRA TEACHING SALARY","Y", , , , , ,"106","17117"
"Line(02700)","TEFRA TEACHING SALARY","Y", , , , , ,"107","37545"
"Line(02800)","TEFRA TEACHING SALARY","Y", , , , , ,"108","10558"
"Line(02900)","TEFRA TEACHING SALARY","Y", , , , , ,"109","4899"
"Line(03000)","TEFRA TEACHING SALARY","Y", , , , , ,"190","71339"
"Line(03100)","TEFRA TEACHING SALARY","Y", , , , , ,"191","97468"
