"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AA0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AA0)","Entity[572875] Report(A600AA0[00000])","Entity[572875] Report(A600AA0[00100])", ,"Entity[572875] Report(A600AA0[00300])","Entity[572875] Report(A600AA0[00400])", , ,"Entity[572875] Report(A600AA0[00700])","Entity[572875] Report(A600AA0[00800])"
"Line(00100)","TEFRA TIME SALARY","AA", ,"4","28636", , ,"5","123018"
"Line(00200)","TEFRA TIME SALARY","AA", ,"5","11040", , ,"14","67452"
"Line(00300)","TEFRA TIME SALARY","AA", ,"5","12468", , ,"21","23448517"
"Line(00400)","TEFRA TIME SALARY","AA", ,"5","765716", , ,"30","173097"
"Line(00500)","TEFRA TIME SALARY","AA", ,"16","4984", , ,"50","613153"
"Line(00600)","TEFRA TIME SALARY","AA", ,"17","2661", , ,"53","1700058"
"Line(00700)","TEFRA TIME SALARY","AA", ,"18","3694", , ,"54","128135"
"Line(00800)","TEFRA TIME SALARY","AA", ,"18","30111982", , ,"55","332241"
"Line(00900)","TEFRA TIME SALARY","AA", ,"35","4270", , ,"58","136970"
"Line(01000)","TEFRA TIME SALARY","AA", ,"52","236733", , ,"60","2018622"
"Line(01100)","TEFRA TIME SALARY","AA", ,"59","177092", , ,"63","86004"
"Line(01200)","TEFRA TIME SALARY","AA", ,"70","76827", , ,"69","166575"
"Line(01300)","TEFRA TIME SALARY","AA", ,"74","19473", , ,"77","22402"
"Line(01400)","TEFRA TIME SALARY","AA", ,"76","159933", , ,"191","23761"
"Line(01500)","TEFRA TIME SALARY","AA", ,"90","7176417", , ,"192","9818053"
"Line(01600)","TEFRA TIME SALARY","AA", ,"91","55611"
"Line(01700)","TEFRA TIME SALARY","AA", ,"94","3204"
"Line(01800)","TEFRA TIME SALARY","AA", ,"190","7317"
