"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AS0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AS0)","Entity[572875] Report(A600AS0[00000])","Entity[572875] Report(A600AS0[00100])", ,"Entity[572875] Report(A600AS0[00300])", ,"Entity[572875] Report(A600AS0[00500])", ,"Entity[572875] Report(A600AS0[00700])", ,"Entity[572875] Report(A600AS0[00900])"
"Line(00100)","TELEPHONE","AS", ,"5", ,"10103016", ,"4", ,"6973"
"Line(00200)","TELEPHONE","AS", , , , , ,"5", ,"1689"
"Line(00300)","TELEPHONE","AS", , , , , ,"5", ,"39500"
"Line(00400)","TELEPHONE","AS", , , , , ,"5", ,"101781"
"Line(00500)","TELEPHONE","AS", , , , , ,"5", ,"589234"
"Line(00600)","TELEPHONE","AS", , , , , ,"5", ,"313969"
"Line(00700)","TELEPHONE","AS", , , , , ,"6", ,"118231"
"Line(00800)","TELEPHONE","AS", , , , , ,"6", ,"10948"
"Line(00900)","TELEPHONE","AS", , , , , ,"6", ,"67134"
"Line(01000)","TELEPHONE","AS", , , , , ,"6", ,"4378"
"Line(01100)","TELEPHONE","AS", , , , , ,"7", ,"14304"
"Line(01200)","TELEPHONE","AS", , , , , ,"8", ,"6501"
"Line(01300)","TELEPHONE","AS", , , , , ,"9", ,"62434"
"Line(01400)","TELEPHONE","AS", , , , , ,"10", ,"70505"
"Line(01500)","TELEPHONE","AS", , , , , ,"13", ,"102660"
"Line(01600)","TELEPHONE","AS", , , , , ,"14", ,"18180"
"Line(01700)","TELEPHONE","AS", , , , , ,"14", ,"20517"
"Line(01800)","TELEPHONE","AS", , , , , ,"14", ,"12969"
"Line(01900)","TELEPHONE","AS", , , , , ,"15", ,"87189"
"Line(02000)","TELEPHONE","AS", , , , , ,"16", ,"59943"
"Line(02100)","TELEPHONE","AS", , , , , ,"17", ,"73418"
"Line(02200)","TELEPHONE","AS", , , , , ,"18", ,"14259"
"Line(02300)","TELEPHONE","AS", , , , , ,"21", ,"800767"
"Line(02400)","TELEPHONE","AS", , , , , ,"30", ,"674233"
"Line(02500)","TELEPHONE","AS", , , , , ,"31", ,"35165"
"Line(02600)","TELEPHONE","AS", , , , , ,"32", ,"15564"
"Line(02700)","TELEPHONE","AS", , , , , ,"33", ,"11145"
"Line(02800)","TELEPHONE","AS", , , , , ,"34", ,"22349"
"Line(02900)","TELEPHONE","AS", , , , , ,"35", ,"91814"
"Line(03000)","TELEPHONE","AS", , , , , ,"35", ,"67822"
"Line(03100)","TELEPHONE","AS", , , , , ,"40", ,"26013"
"Line(03200)","TELEPHONE","AS", , , , , ,"43", ,"7971"
"Line(03300)","TELEPHONE","AS", , , , , ,"50", ,"478487"
"Line(03400)","TELEPHONE","AS", , , , , ,"51", ,"20230"
"Line(03500)","TELEPHONE","AS", , , , , ,"52", ,"25232"
"Line(03600)","TELEPHONE","AS", , , , , ,"53", ,"145507"
"Line(03700)","TELEPHONE","AS", , , , , ,"54", ,"539122"
"Line(03800)","TELEPHONE","AS", , , , , ,"55", ,"295194"
"Line(03900)","TELEPHONE","AS", , , , , ,"55", ,"80232"
"Line(04000)","TELEPHONE","AS", , , , , ,"57", ,"24662"
"Line(04100)","TELEPHONE","AS", , , , , ,"58", ,"41049"
"Line(04200)","TELEPHONE","AS", , , , , ,"59", ,"59244"
"Line(04300)","TELEPHONE","AS", , , , , ,"60", ,"228528"
"Line(04400)","TELEPHONE","AS", , , , , ,"60", ,"3840"
"Line(04500)","TELEPHONE","AS", , , , , ,"63", ,"26375"
"Line(04600)","TELEPHONE","AS", , , , , ,"65", ,"26486"
"Line(04700)","TELEPHONE","AS", , , , , ,"66", ,"125013"
"Line(04800)","TELEPHONE","AS", , , , , ,"69", ,"11872"
"Line(04900)","TELEPHONE","AS", , , , , ,"69", ,"103805"
"Line(05000)","TELEPHONE","AS", , , , , ,"70", ,"44815"
"Line(05100)","TELEPHONE","AS", , , , , ,"71", ,"4210"
"Line(05200)","TELEPHONE","AS", , , , , ,"74", ,"37461"
"Line(05300)","TELEPHONE","AS", , , , , ,"76", ,"100416"
"Line(05400)","TELEPHONE","AS", , , , , ,"77", ,"4072"
"Line(05500)","TELEPHONE","AS", , , , , ,"90", ,"1549262"
"Line(05600)","TELEPHONE","AS", , , , , ,"91", ,"143748"
"Line(05700)","TELEPHONE","AS", , , , , ,"92", ,"9670"
"Line(05800)","TELEPHONE","AS", , , , , ,"94", ,"8779"
"Line(05900)","TELEPHONE","AS", , , , , ,"105", ,"27702"
"Line(06000)","TELEPHONE","AS", , , , , ,"106", ,"3354"
"Line(06100)","TELEPHONE","AS", , , , , ,"107", ,"4044"
"Line(06200)","TELEPHONE","AS", , , , , ,"108", ,"2447"
"Line(06300)","TELEPHONE","AS", , , , , ,"109", ,"630"
"Line(06400)","TELEPHONE","AS", , , , , ,"112", ,"33537"
"Line(06500)","TELEPHONE","AS", , , , , ,"190", ,"52886"
"Line(06600)","TELEPHONE","AS", , , , , ,"191", ,"19390"
"Line(06700)","TELEPHONE","AS", , , , , ,"191", ,"1926778"
"Line(06800)","TELEPHONE","AS", , , , , ,"191", ,"336245"
"Line(06900)","TELEPHONE","AS", , , , , ,"191", ,"9133"
