"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AT0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AT0)","Entity[572875] Report(A600AT0[00000])","Entity[572875] Report(A600AT0[00100])", ,"Entity[572875] Report(A600AT0[00300])", ,"Entity[572875] Report(A600AT0[00500])", ,"Entity[572875] Report(A600AT0[00700])", ,"Entity[572875] Report(A600AT0[00900])"
"Line(00100)","BULFINCH TEMPS","AT", ,"4", ,"824338", ,"5", ,"8424"
"Line(00200)","BULFINCH TEMPS","AT", , , , , ,"5", ,"4491"
"Line(00300)","BULFINCH TEMPS","AT", , , , , ,"5", ,"16979"
"Line(00400)","BULFINCH TEMPS","AT", , , , , ,"5", ,"23710"
"Line(00500)","BULFINCH TEMPS","AT", , , , , ,"6", ,"2546"
"Line(00600)","BULFINCH TEMPS","AT", , , , , ,"6", ,"811"
"Line(00700)","BULFINCH TEMPS","AT", , , , , ,"6", ,"707"
"Line(00800)","BULFINCH TEMPS","AT", , , , , ,"8", ,"3651"
"Line(00900)","BULFINCH TEMPS","AT", , , , , ,"9", ,"2118"
"Line(01000)","BULFINCH TEMPS","AT", , , , , ,"10", ,"9206"
"Line(01100)","BULFINCH TEMPS","AT", , , , , ,"13", ,"2077"
"Line(01200)","BULFINCH TEMPS","AT", , , , , ,"14", ,"1221"
"Line(01300)","BULFINCH TEMPS","AT", , , , , ,"14", ,"6736"
"Line(01400)","BULFINCH TEMPS","AT", , , , , ,"14", ,"3849"
"Line(01500)","BULFINCH TEMPS","AT", , , , , ,"15", ,"500"
"Line(01600)","BULFINCH TEMPS","AT", , , , , ,"16", ,"3524"
"Line(01700)","BULFINCH TEMPS","AT", , , , , ,"21", ,"24492"
"Line(01800)","BULFINCH TEMPS","AT", , , , , ,"30", ,"105494"
"Line(01900)","BULFINCH TEMPS","AT", , , , , ,"32", ,"2721"
"Line(02000)","BULFINCH TEMPS","AT", , , , , ,"34", ,"150"
"Line(02100)","BULFINCH TEMPS","AT", , , , , ,"35", ,"3311"
"Line(02200)","BULFINCH TEMPS","AT", , , , , ,"35", ,"244"
"Line(02300)","BULFINCH TEMPS","AT", , , , , ,"40", ,"8"
"Line(02400)","BULFINCH TEMPS","AT", , , , , ,"43", ,"88"
"Line(02500)","BULFINCH TEMPS","AT", , , , , ,"50", ,"12544"
"Line(02600)","BULFINCH TEMPS","AT", , , , , ,"51", ,"88"
"Line(02700)","BULFINCH TEMPS","AT", , , , , ,"52", ,"25"
"Line(02800)","BULFINCH TEMPS","AT", , , , , ,"53", ,"4157"
"Line(02900)","BULFINCH TEMPS","AT", , , , , ,"54", ,"16733"
"Line(03000)","BULFINCH TEMPS","AT", , , , , ,"55", ,"8425"
"Line(03100)","BULFINCH TEMPS","AT", , , , , ,"55", ,"315"
"Line(03200)","BULFINCH TEMPS","AT", , , , , ,"58", ,"36"
"Line(03300)","BULFINCH TEMPS","AT", , , , , ,"59", ,"1716"
"Line(03400)","BULFINCH TEMPS","AT", , , , , ,"60", ,"14131"
"Line(03500)","BULFINCH TEMPS","AT", , , , , ,"63", ,"2707"
"Line(03600)","BULFINCH TEMPS","AT", , , , , ,"66", ,"4675"
"Line(03700)","BULFINCH TEMPS","AT", , , , , ,"69", ,"231"
"Line(03800)","BULFINCH TEMPS","AT", , , , , ,"69", ,"835"
"Line(03900)","BULFINCH TEMPS","AT", , , , , ,"70", ,"1415"
"Line(04000)","BULFINCH TEMPS","AT", , , , , ,"71", ,"44"
"Line(04100)","BULFINCH TEMPS","AT", , , , , ,"74", ,"764"
"Line(04200)","BULFINCH TEMPS","AT", , , , , ,"76", ,"4693"
"Line(04300)","BULFINCH TEMPS","AT", , , , , ,"77", ,"22"
"Line(04400)","BULFINCH TEMPS","AT", , , , , ,"90", ,"137386"
"Line(04500)","BULFINCH TEMPS","AT", , , , , ,"91", ,"15463"
"Line(04600)","BULFINCH TEMPS","AT", , , , , ,"92", ,"514"
"Line(04700)","BULFINCH TEMPS","AT", , , , , ,"105", ,"4978"
"Line(04800)","BULFINCH TEMPS","AT", , , , , ,"107", ,"29"
"Line(04900)","BULFINCH TEMPS","AT", , , , , ,"190", ,"1615"
"Line(05000)","BULFINCH TEMPS","AT", , , , , ,"191", ,"1159"
"Line(05100)","BULFINCH TEMPS","AT", , , , , ,"191", ,"296217"
"Line(05200)","BULFINCH TEMPS","AT", , , , , ,"191", ,"65075"
"Line(05300)","BULFINCH TEMPS","AT", , , , , ,"191", ,"1288"
