"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AU0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AU0)","Entity[572875] Report(A600AU0[00000])","Entity[572875] Report(A600AU0[00100])", ,"Entity[572875] Report(A600AU0[00300])", ,"Entity[572875] Report(A600AU0[00500])", ,"Entity[572875] Report(A600AU0[00700])", ,"Entity[572875] Report(A600AU0[00900])"
"Line(00100)","SECURITY","AU", ,"6", ,"255537", ,"4", ,"1620"
"Line(00200)","SECURITY","AU", , , , , ,"5", ,"15500"
"Line(00300)","SECURITY","AU", , , , , ,"5", ,"840"
"Line(00400)","SECURITY","AU", , , , , ,"5", ,"2665"
"Line(00500)","SECURITY","AU", , , , , ,"5", ,"14077"
"Line(00600)","SECURITY","AU", , , , , ,"6", ,"9740"
"Line(00700)","SECURITY","AU", , , , , ,"6", ,"7200"
"Line(00800)","SECURITY","AU", , , , , ,"7", ,"1710"
"Line(00900)","SECURITY","AU", , , , , ,"9", ,"1520"
"Line(01000)","SECURITY","AU", , , , , ,"10", ,"5112"
"Line(01100)","SECURITY","AU", , , , , ,"13", ,"1222"
"Line(01200)","SECURITY","AU", , , , , ,"14", ,"180"
"Line(01300)","SECURITY","AU", , , , , ,"15", ,"5156"
"Line(01400)","SECURITY","AU", , , , , ,"16", ,"180"
"Line(01500)","SECURITY","AU", , , , , ,"21", ,"13236"
"Line(01600)","SECURITY","AU", , , , , ,"30", ,"2300"
"Line(01700)","SECURITY","AU", , , , , ,"35", ,"1447"
"Line(01800)","SECURITY","AU", , , , , ,"35", ,"1160"
"Line(01900)","SECURITY","AU", , , , , ,"40", ,"80"
"Line(02000)","SECURITY","AU", , , , , ,"43", ,"160"
"Line(02100)","SECURITY","AU", , , , , ,"50", ,"400"
"Line(02200)","SECURITY","AU", , , , , ,"51", ,"1817"
"Line(02300)","SECURITY","AU", , , , , ,"54", ,"1080"
"Line(02400)","SECURITY","AU", , , , , ,"55", ,"1327"
"Line(02500)","SECURITY","AU", , , , , ,"55", ,"2517"
"Line(02600)","SECURITY","AU", , , , , ,"57", ,"2647"
"Line(02700)","SECURITY","AU", , , , , ,"59", ,"230"
"Line(02800)","SECURITY","AU", , , , , ,"65", ,"180"
"Line(02900)","SECURITY","AU", , , , , ,"66", ,"9450"
"Line(03000)","SECURITY","AU", , , , , ,"69", ,"360"
"Line(03100)","SECURITY","AU", , , , , ,"76", ,"1238"
"Line(03200)","SECURITY","AU", , , , , ,"90", ,"26624"
"Line(03300)","SECURITY","AU", , , , , ,"91", ,"640"
"Line(03400)","SECURITY","AU", , , , , ,"105", ,"540"
"Line(03500)","SECURITY","AU", , , , , ,"190", ,"4766"
"Line(03600)","SECURITY","AU", , , , , ,"191", ,"720"
"Line(03700)","SECURITY","AU", , , , , ,"191", ,"14528"
"Line(03800)","SECURITY","AU", , , , , ,"191", ,"101368"
