"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A700003 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[572875] Report(A700003)", ,"Entity[572875] Report(A700003[00100])", ,"Entity[572875] Report(A700003[00300])","Entity[572875] Report(A700003[00400])", , ,"Entity[572875] Report(A700003[00700])","Entity[572875] Report(A700003[00800])","Entity[572875] Report(A700003[00900])", ,"Entity[572875] Report(A700003[01100])", ,"Entity[572875] Report(A700003[01300])","Entity[572875] Report(A700003[01400])","Entity[572875] Report(A700003[01500])"
"Line(00100)", , , , , , , , , ,"116466906", ,"-116466906"
"Line(00101)", , , , , , , , , , , ,"2428326", , , ,"2428326"
"Line(00102)", , , , , , , , , , , ,"2481382", , , ,"2481382"
"Line(00103)", , , , , , , , , , , ,"443084", , , ,"443084"
"Line(00104)", , , , , , , , , , , ,"18767302", ,"657831", ,"19425133"
"Line(00105)", , , , , , , , , , , ,"803737", , , ,"803737"
"Line(00106)", , , , , , , , , , , ,"3973097", , , ,"3973097"
"Line(00107)", , , , , , , , , , , ,"457254", , , ,"457254"
"Line(00108)", , , , , , , , , , , ,"2961338", , , ,"2961338"
"Line(00109)", , , , , , , , , , , ,"4559369", , , ,"4559369"
"Line(00110)", , , , , , , , , , , ,"39406", , , ,"39406"
"Line(00111)", , , , , , , , , , , ,"1022265", , , ,"1022265"
"Line(00112)", , , , , , , , , , , ,"406963", , , ,"406963"
"Line(00113)", , , , , , , , , , , ,"869162", , , ,"869162"
"Line(00114)", , , , , , , , , , , ,"64485", , , ,"64485"
"Line(00116)", , , , , , , , , , , ,"1136825", , , ,"1136825"
"Line(00117)", , , , , , , , , , , ,"325256", , , ,"325256"
"Line(00118)", , , , , , , , , , , ,"144177", , , ,"144177"
"Line(00119)", , , , , , , , , , , ,"4897434", , , ,"4897434"
"Line(00120)", , , , , , , , , , , ,"2518498", , , ,"2518498"
"Line(00121)", , , , , , , , , , , ,"169625", , , ,"169625"
"Line(00122)", , , , , , , , , , , ,"1725071", , , ,"1725071"
"Line(00123)", , , , , , , , , , , ,"16661164", , , ,"16661164"
"Line(00124)", , , , , , , , , , , ,"3840646", , , ,"3840646"
"Line(00125)", , , , , , , , , , , ,"9226997", ,"660042", ,"9887039"
"Line(00126)", , , , , , , , , , , ,"5275608", , , ,"5275608"
"Line(00127)", , , , , , , , , ,"-221627", ,"809001", , , ,"587374"
"Line(00128)", ,"2147483647", ,"2147483647","1", , ,"1072620","1072620", , ,"10514749", ,"2725314","1072620","14312683"
"Line(00129)", , , , , , , , , , , ,"1034347", , , ,"1034347"
"Line(00130)", , , , , , , , , , , ,"60547", , , ,"60547"
"Line(00131)", , , , , , , , , , , ,"343339", , , ,"343339"
"Line(00132)", , , , , , , , , , , ,"3561163", , , ,"3561163"
"Line(00133)", , , , , , , , , , , ,"1650421", , , ,"1650421"
"Line(00134)", , , , , , , , , , , ,"851008", , , ,"851008"
"Line(00135)", , , , , , , , , , , ,"583374", , , ,"583374"
"Line(00200)", , , , , , , , , ,"74173028", , , , , ,"74173028"
