"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00B182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(D00B182)", ,"Entity[572875] Report(D00B182[00100])","Entity[572875] Report(D00B182[00200])","Entity[572875] Report(D00B182[00300])","Entity[572875] Report(D00B182[00400])","Entity[572875] Report(D00B182[00500])"
"Line(05000)", ,"26616230","1089241927","0","106624","2605"
"Line(05100)", ,"3122230","55809374","0","5818","325"
"Line(05200)", ,"918177","50141149","0","779","14"
"Line(05300)", ,"3428550","173074758","0","95643","1895"
"Line(05400)", ,"10623957","435384983","0","105064","2564"
"Line(05500)", ,"10946411","302679781","0","21713","785"
"Line(05501)", ,"1982492","89682976","0","3501","77"
"Line(05700)", ,"895269","247596590","0","103111","373"
"Line(05800)", ,"1613350","220713264","0","206486","1509"
"Line(05900)", ,"1006784","126582660","0","8221","65"
"Line(06000)", ,"6490957","723100261","0","569932","5116"
"Line(06001)", ,"37908","3090038","0","133","2"
"Line(06300)", ,"1013620","111540752","0","50607","460"
"Line(06400)", ,"14248","14066636","0","18"
"Line(06500)", ,"614035","68356795","0","60646","545"
"Line(06600)", ,"1926820","72657399","0","312820","8296"
"Line(06900)", ,"45521","18066384","0","15520","39"
"Line(06901)", ,"1899358","98471396","0","4036","78"
"Line(07000)", ,"1258775","35713023","0","40770","1437"
"Line(07100)", ,"651926","102238303","0","8027","51"
"Line(07200)", ,"677357","116456420","0","5444","32"
"Line(07300)", ,"4855097","590981759","0","440477","3619"
"Line(07400)", ,"649575","14816091","0","3382","148"
"Line(07600)", ,"1001387","57860875","0","320522","5547"
"Line(07697)", ,"29249","2050161","0","5"
"Line(09000)", ,"20178191","304472957","0","10332","685"
"Line(09100)", ,"5247099","219054107","0","504024","12073"
"Line(09200)", , ,"65340766"
"Line(09201)", ,"147726","27847126","0","4408","23"
"Line(09400)", ,"197995","22974513","0"
