"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A6000U0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572966] Report(A6000U0)","Entity[572966] Report(A6000U0[00000])","Entity[572966] Report(A6000U0[00100])", ,"Entity[572966] Report(A6000U0[00300])", ,"Entity[572966] Report(A6000U0[00500])", ,"Entity[572966] Report(A6000U0[00700])", ,"Entity[572966] Report(A6000U0[00900])"
"Line(00100)","BCM COSTS","U", ,"5", ,"187801", ,"5", ,"15978"
"Line(00200)","BCM COSTS","U", ,"5", ,"750886", ,"5", ,"674"
"Line(00300)","BCM COSTS","U", ,"18", ,"1945", ,"5", ,"87561"
"Line(00400)","BCM COSTS","U", ,"18", ,"195296", ,"5", ,"734986"
"Line(00500)","BCM COSTS","U", ,"18", ,"15787", ,"10", ,"44900"
"Line(00600)","BCM COSTS","U", ,"18", ,"10462", ,"13", ,"15982"
"Line(00700)","BCM COSTS","U", ,"18", ,"6371", ,"16", ,"18810"
"Line(00800)","BCM COSTS","U", ,"18", ,"185", ,"18", ,"72397"
"Line(00900)","BCM COSTS","U", ,"18", ,"1027907", ,"18", ,"121598"
"Line(01000)","BCM COSTS","U", ,"18", ,"68165", ,"18", ,"45409"
"Line(01100)","BCM COSTS","U", ,"18", ,"4074700", ,"18", ,"12305"
"Line(01200)","BCM COSTS","U", ,"18", ,"1207830", ,"18", ,"107204"
"Line(01300)","BCM COSTS","U", ,"18", ,"28454", ,"18", ,"28594"
"Line(01400)","BCM COSTS","U", ,"18", ,"1024", ,"18", ,"15755"
"Line(01500)","BCM COSTS","U", ,"76", ,"242501", ,"18", ,"60110"
"Line(01600)","BCM COSTS","U", ,"194", ,"15306", ,"18", ,"113813"
"Line(01700)","BCM COSTS","U", , , , , ,"18", ,"53671"
"Line(01800)","BCM COSTS","U", , , , , ,"18", ,"584"
"Line(01900)","BCM COSTS","U", , , , , ,"18", ,"202722"
"Line(02000)","BCM COSTS","U", , , , , ,"18", ,"19737"
"Line(02100)","BCM COSTS","U", , , , , ,"18", ,"1056892"
"Line(02200)","BCM COSTS","U", , , , , ,"18", ,"213246"
"Line(02300)","BCM COSTS","U", , , , , ,"18", ,"82002"
"Line(02400)","BCM COSTS","U", , , , , ,"18", ,"14343"
"Line(02500)","BCM COSTS","U", , , , , ,"22", ,"2202108"
"Line(02600)","BCM COSTS","U", , , , , ,"60", ,"4059"
"Line(02700)","BCM COSTS","U", , , , , ,"65", ,"6078"
"Line(02800)","BCM COSTS","U", , , , , ,"69", ,"1751"
"Line(02900)","BCM COSTS","U", , , , , ,"74", ,"4440"
"Line(03000)","BCM COSTS","U", , , , , ,"76", ,"360"
"Line(03100)","BCM COSTS","U", , , , , ,"90", ,"990972"
"Line(03200)","BCM COSTS","U", , , , , ,"91", ,"6459"
"Line(03300)","BCM COSTS","U", , , , , ,"105", ,"1743"
"Line(03400)","BCM COSTS","U", , , , , ,"106", ,"1927"
"Line(03500)","BCM COSTS","U", , , , , ,"107", ,"2895"
"Line(03600)","BCM COSTS","U", , , , , ,"191", ,"277800"
"Line(03700)","BCM COSTS","U", , , , , ,"191", ,"89"
"Line(03800)","BCM COSTS","U", , , , , ,"194", ,"11"
"Line(03900)","BCM COSTS","U", , , , , ,"194", ,"366"
"Line(04000)","BCM COSTS","U", , , , , ,"194", ,"1194289"
