"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[572966] Report(S200001)", ,"Entity[572966] Report(S200001[00100])","Entity[572966] Report(S200001[00200])","Entity[572966] Report(S200001[00300])","Entity[572966] Report(S200001[00400])","Entity[572966] Report(S200001[00500])","Entity[572966] Report(S200001[00600])","Entity[572966] Report(S200001[00700])","Entity[572966] Report(S200001[00800])"
"Line(00100)", ,"6621 FANNIN"
"Line(00200)", ,"HOUSTON","TX","77030","HARRIS"
"Line(00300)", ,"TEXAS CHILDRENS HOSPITAL","453304","26420","7","01/08/1969","N","T","O"
"Line(01800)", ,"TCH RENAL DIALYSIS UNIT","452333","26420", ,"08/31/1977"
"Line(02000)", ,"10/01/2012","09/30/2013"
"Line(02100)", ,"2"
"Line(02200)", ,"N","N"
"Line(02201)", ,"N","N"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"1","N"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","N","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"Y"
"Line(06000)", ,"N"
"Line(06100)", ,"N"
"Line(06300)", ,"N"
"Line(07000)", ,"N"
"Line(07500)", ,"N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(08700)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","Y"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","Y"
"Line(09500)", , ,"0"
"Line(09600)", ,"N","Y"
"Line(09700)", , ,"0"
"Line(10500)", ,"N"
"Line(10800)", ,"N"
"Line(10900)", ,"N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"N"
"Line(11800)", ,"1"
"Line(11801)", , ,"1669934","17517482"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"01/26/2010"
"Line(12700)", ,"12/14/2012"
"Line(12800)", ,"12/14/2012"
"Line(12900)", ,"12/14/2012"
"Line(14000)", ,"Y"
"Line(14400)", ,"Y"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"10/01/2012","09/30/2013"
