,,NET EXPENSES,CAPITAL,, ,, ,,,,,,,,,, , ,,,,,,,,,,, , ,,,INTERN &,,
,,FOR COST,RELATED COSTS,,,,,,,,,,,,,,,,,,,,,,,,NON-,,INTERNS &,INTERNS &,,,RESIDENT ,,
,,ALLOCATION, , ,,,ADMINIS-,MAIN-,,,,,LAUNDRY,,,,MAIN-,NURSING,CENTRAL,,MEDICAL,,,,,OTHER,PHYSICIAN,,RESIDENTS,RESIDENTS,PARAMEDICAL,,COST & POST,,
,COST CENTER DESCRIPTIONS,(from Wkst.,BLDGS. &,MOVABLE,EMPLOYEE,SUBTOTAL,TRATIVE &,TENANCE &,OPERATION,,,COST CENTER DESCRIPTIONS,& LINEN,HOUSE-, ,,TENANCE OF,ADMINIS-,SERVICES &,,RECORDS &,SOCIAL,,,COST CENTER DESCRIPTIONS,GENERAL,ANES-,NURSING,SALARY AND,PROGRAM,EDUCATION,,STEPDOWN,,
,,A col. 7),FIXTURES,EQUIPMENT,BENEFITS,(cols. 0-4),GENERAL,REPAIRS,OF PLANT,,,,SERVICE,KEEPING,DIETARY,CAFETERIA,PERSONNEL,TRATION,SUPPLY,PHARMACY,LIBRARY,SERVICE,,,,SERVICE,THETISTS,SCHOOL,FRINGES,COSTS,(SPECIFY),SUBTOTAL, ADJUSTMENTS,TOTAL,
,,0,1,2,4,4A,5,6,7,,,,8,9,10,11,12,13,14,15,16,17,,,,18,19,20,21,22,23,24,25,26,
,GENERAL SERVICE COST CENTERS,,,,,,,,,,,GENERAL SERVICE COST CENTERS,,,,,,,,,,,,,GENERAL SERVICE COST CENTERS,,,,,,,,,,
1, Capital Related Costs-Buildings and Fixtures,,,,,,,,,1,1, Capital Related Costs-Buildings and Fixtures,,,,,,,,,,,1,1, Capital Related Costs-Buildings and Fixtures,,,,,,,,,,1
2, Capital Related Costs-Movable Equipment,,,,,,,,,2,2, Capital Related Costs-Movable Equipment,,,,,,,,,,,2,2, Capital Related Costs-Movable Equipment,,,,,,,,,,2
4, Employee Benefits,,,,,,,,,4,4, Employee Benefits,,,,,,,,,,,4,4, Employee Benefits,,,,,,,,,,4
5, Administrative and General,,,,,,,,,5,5, Administrative and General,,,,,,,,,,,5,5, Administrative and General,,,,,,,,,,5
6, Maintenance and Repairs,,,,,,,,,6,6, Maintenance and Repairs,,,,,,,,,,,6,6, Maintenance and Repairs,,,,,,,,,,6
7, Operation of Plant,,,,,,,,,7,7, Operation of Plant,,,,,,,,,,,7,7, Operation of Plant,,,,,,,,,,7
8, Laundry and Linen Service,,,,,,,,,8,8, Laundry and Linen Service,,,,,,,,,,,8,8, Laundry and Linen Service,,,,,,,,,,8
9, Housekeeping,,,,,,,,,9,9, Housekeeping,,,,,,,,,,,9,9, Housekeeping,,,,,,,,,,9
10, Dietary,,,,,,,,,10,10, Dietary,,,,,,,,,,,10,10, Dietary,,,,,,,,,,10
11, Cafeteria,,,,,,,,,11,11, Cafeteria,,,,,,,,,,,11,11, Cafeteria,,,,,,,,,,11
12, Maintenance of Personnel,,,,,,,,,12,12, Maintenance of Personnel,,,,,,,,,,,12,12, Maintenance of Personnel,,,,,,,,,,12
13, Nursing Administration,,,,,,,,,13,13, Nursing Administration,,,,,,,,,,,13,13, Nursing Administration,,,,,,,,,,13
14, Central Services and Supply,,,,,,,,,14,14, Central Services and Supply,,,,,,,,,,,14,14, Central Services and Supply,,,,,,,,,,14
